"iso","b","se","meantemp","fit"
"DEU",0.00037769787285605,0.00492955569037516,8.87225,0.00407481130580284
"DJI",-0.00668327291477363,0.014486735881192,28.257,-0.0148089003089523
"DNK",-0.00145731641298983,0.00425729042924135,7.8526,0.00506810637269745
"DOM",0.0200084738906827,0.0245758589511841,25.0366,-0.0116717381126817
"DZA",-0.00851141350732512,0.0292974256697462,16.8534,-0.0037000496005335
"ECU",0.00358884290813481,0.0106695840383995,19.3486,-0.00613075606933692
"EGY",-0.00892159292719114,0.0126618128947015,21.3682222222222,-0.00809817703763393
"ERI",0.00358830432024002,0.0236528391268748,23.2138888888889,-0.00989613868636811
"ESP",0.0170750065083952,0.00716131145676227,14.488,-0.00139578818609473
"EST",-0.0255315779537108,0.0217554212621115,5.64529411764706,0.00721835993428094
"ETH",0.0303566797163293,0.0506347353644074,19.4120689655172,-0.00619258455004028
"FIN",0.00132306351790033,0.00521023607915734,3.4274,0.00937892805663016
"FJI",0.0102674588124167,0.0250877115675852,23.7268,-0.0103957925640929
"FRA",0.00503467036072483,0.00420983057901567,10.9034,0.00209616051864748
"GAB",-0.0973612107222038,0.0602054846226019,24.9948,-0.0116310185189032
"GBR",0.00144650516347817,0.00635056801499563,9.397,0.00356362453940953
"GEO",0.0563476658950763,0.032028992634796,10.8977777777778,0.00210163742307382
"GHA",0.0232208914978235,0.0221460497642077,26.6676,-0.0132605815924101
"GIN",0.0154985206630539,0.0194861050802467,25.4479166666667,-0.0120724234615088
"GMB",-0.00132593702205446,0.0159219965367193,26.1259090909091,-0.0127328917892604
"GNB",-0.0735093092448059,0.047636000845935,26.8825,-0.0134699270637735
"GNQ",-0.117757715195018,0.113469015363608,24.5316666666667,-0.011179855810803
"GRC",-0.00986161495776948,0.0129832895903698,14.9092,-0.00180610141335507
"GRL",0.0221547470384873,0.00807109193481163,-3.96769230769231,0.0165828791265669
"GTM",-0.00348941589105678,0.01122752722502,21.9478,-0.00866277444610586
"GUY",-0.0124299578795436,0.0212561077151416,26.5892,-0.0131842080002515
"HND",-0.00594382229853684,0.0160314446283126,24.2632,-0.0109183282124843
"HRV",-0.020480518281011,0.0234796680150818,11.9226666666667,0.00110323887705467
"HTI",-0.00815725128802749,0.0253887904759375,25.2358333333333,-0.0118658218543195
"HUN",-0.00333789236535745,0.0131235750697657,10.2628,0.00272020290559661
"IDN",-0.0572867759255237,0.0289877925916216,25.3188,-0.0119466440783343
"IND",0.0128000399528632,0.0151265621614565,25.5744,-0.0121956375752188
"IRL",0.0267680150564555,0.0114791227159615,8.926,0.00402245058413797
"IRN",-0.0424978711013965,0.0184090517001339,15.1157777777778,-0.00200733976729683
"IRQ",-0.106387717277925,0.221323135556745,22.85,-0.00954165524770672
"ISL",0.0264561083698082,0.0109480870925372,1.4196,0.0113348323721413
"ISR",0.000473228776057902,0.0114810018829348,20.1326,-0.00689449199092312
"ITA",-0.00237670884003219,0.00794257295091838,12.847,0.000202796823245772
"JOR",-0.0286742716303257,0.020721734633273,17.5777142857143,-0.00440564250680652
"JPN",0.0155456634835762,0.00960990485204339,13.8606,-0.000784604618233528
"KAZ",0.00656535312755578,0.0173647635255088,6.344,0.00653771352997415
"KEN",-0.0234810953253963,0.0227401521367984,19.9448,-0.00671154606480847
"KGZ",0.0862626124776333,0.0363169588280472,6.82791666666667,0.00606630467616345
"KHM",-0.0116512368018588,0.0193464920373491,27.9047058823529,-0.0144657119510307
"KOR",-0.00694832203040266,0.0101555141580284,11.498,0.00151692916791386
"KWT",-0.0616401952938622,0.0356147482589312,26.2893333333333,-0.0128920919989509
"LAO",-0.0164489278423008,0.0186616776273204,23.8826923076923,-0.0105476555172608
"LBN",0.036666009390298,0.0659968053626184,14.1118181818182,-0.00102932955396072
"LBR",0.085281106604416,0.135525320276509,25.8272,-0.0124419034438119
"LBY",-0.0325879917628204,0.0521374236986093,21.0718181818182,-0.00780943416396065
"LKA",0.00683560128588765,0.0119723523799274,26.4668,-0.0130649716777998
"LSO",-0.00593725787691365,0.0197625469808468,11.5704,0.00144640049352248
"LTU",-0.0224522881579361,0.0255733430030934,6.925,0.00597173065951295
"LUX",0.00469166848057612,0.00801953098365994,9.014,0.00393672512355177
"LVA",-0.00708590687844987,0.0147611375156686,6.07355555555556,0.00680116778637166
"MAR",-0.0175720239492361,0.0156840519508548,16.765,-0.00361393447876281
"MDA",-0.0288471843443226,0.0297509478521089,9.49466666666667,0.00346848226686499
"MDG",-0.0188576077318158,0.0230439745422027,20.5628,-0.00731357259483432
"MEX",-0.020610178359121,0.0186625976659363,18.7074,-0.00550612919061107
"MKD",0.00329151532998096,0.0109971310891985,9.959,0.00301615057521126
"MLI",-0.0590800872486188,0.0228548484341731,28.2167441860465,-0.0147696849885838
"MNG",0.0169796318306652,0.0132542293592549,-0.733448275862069,0.0134322307256938
"MOZ",-0.0129261578684605,0.054168641956485,24.3223333333333,-0.010975933124257
"MRT",-0.0159984197176479,0.0199095410904989,28.3514,-0.0149008603484903
"MUS",0.0249788254600114,0.0274032314494193,24.1808823529412,-0.0108381382328424
"MWI",-0.00584701316869954,0.0238063723502709,22.1382,-0.00884825316991966
"MYS",-0.0342323834065858,0.021416968813614,25.957,-0.0125683484981765
"NAM",-0.0223352055321225,0.0163914726663719,21.5093333333333,-0.00823564084438201
"NER",-0.0159715148325909,0.023806343167302,28.3738,-0.0149226813748213
"NGA",0.0672998067976415,0.0453988553804774,26.721,-0.0133126013605386
"NIC",0.000618100685112943,0.0249484669968555,25.9368,-0.0125486706083601
"NLD",0.0015991353688274,0.00474734192286429,9.901,0.00307265144696126
"NOR",0.00356369671563888,0.00305850580213823,4.6532,0.00818481135678276
"NPL",0.0153431815012985,0.0124380187588076,20.6384,-0.00738721855870157
"NZL",-0.00215184087620145,0.00801586480917348,12.7415,0.000305569960653097
"OMN",-0.0856616912688132,0.0495940654539012,26.0456,-0.0126546584505394
"PAK",0.0179346813855679,0.0090905426027934,22.9938,-0.00968173844352826
"PAN",-0.0253330809801478,0.0185252103368733,25.3386,-0.0119659323069662
"PER",-0.0101352567856033,0.0140246532048694,15.3648,-0.00224992550248093
"PHL",0.0102485545301012,0.0214877202553928,25.8978,-0.0125106786428731
"PNG",0.0127186319765888,0.0435395884921757,21.7948,-0.00851372904304121
"POL",-0.000669503617260368,0.0105248553012716,8.3065,0.00462593834360564
"PRI",0.000977182521980091,0.0166790696268385,24.7974,-0.011438720724361
"PRT",0.0172533452265074,0.0119450557008717,15.1058,-0.00199761988552834
"PRY",-0.00664571504440808,0.0106776943435853,22.0878,-0.00879915586067483
"QAT",0.130010545740625,0.0766582201161055,27.524,-0.0140948461883877
"ROM",0.0192239319594239,0.0189944464742742,9.48433333333333,0.0034785485141308
"RUS",0.0467158488586718,0.0206568819166107,4.31619047619048,0.00851311018235673
"RWA",-0.0738681837643018,0.0428440923526402,19.9602,-0.00672654802041105
"SAU",0.011799541642083,0.0197611208755006,25.7445238095238,-0.0123613641880382
"SDN",-0.0249338635442145,0.0208323118456204,27.8366,-0.014399366404061
"SEN",-0.0192522694552347,0.013584261636212,26.8128,-0.0134020286023774
"SLB",0.0460763527555491,0.101484501712889,27.262,-0.0138396181125515
"SLE",0.060525024565497,0.0347212988617402,26.3334,-0.0129350196727748
"SLV",0.0493278704345075,0.016158132682091,22.5793333333333,-0.00927798451287339
"SRB",-0.029357003492437,0.0449556101834304,10.129,0.00285054457180609
"STP",0.00520782234096726,0.0692762771710399,26.37,-0.012970673671155
"SUR",-0.0170547553488979,0.0326026349133556,26.9322857142857,-0.0135184259647707
"SVK",-0.00906773738478652,0.01800540323508,8.29038461538462,0.0046416371932497
"SVN",-0.000888601150042642,0.0148874281093659,8.5635,0.00437558103257547
"SWE",-0.00263326834924283,0.00378662840576223,5.6502,0.00721358085445949
"SWZ",-0.0384371373692131,0.0218073923878968,19.9735,-0.0067395042547951
"SYR",-0.0280494949500033,0.0218372294662232,17.3291489361702,-0.00416350183549474
"TCD",-0.0256376018512121,0.0330562830779402,27.9002,-0.0144613225323937
"TGO",-0.00532012125584265,0.0352186494603899,26.3146,-0.0129167055971041
"THA",-0.017397643528505,0.019214080204637,27.0102222222222,-0.0135943480447632
"TJK",0.137077207468402,0.032924734590511,11.8964,0.00112882662816904
"TKM",0.0515539787990816,0.0502162810284864,15.7830434782609,-0.00265735862533422
"TTO",0.0160922987227577,0.024838497250298,25.4856,-0.0121091327922636
"TUN",-0.0249769836276272,0.0126395283067554,18.7788888888889,-0.00557577030341557
"TUR",-0.0176260257455252,0.00992877605277663,12.2978,0.000737801629540593
"TZA",0.0073044169861017,0.0169566207684985,22.4863636363636,-0.00918741780726785
"UGA",-0.00206245141754381,0.0191499010633442,22.4060714285714,-0.00910920091528523
"UKR",0.0304003909606476,0.0330180336233,8.57,0.00436924903832762
"URY",0.00466455308610934,0.016081556677841,17.9604,-0.00477843692858952
"USA",-0.00204967856192235,0.00869838244925844,13.4374,-0.000372343085050774
"UZB",0.0317195549751849,0.0198042333183604,14.2373913043478,-0.00115165698312097
"VCT",0.0605123883103037,0.0308033526031722,26.4066,-0.0130063276695351
"VEN",-0.0176828238405881,0.0227694491655881,25.2592,-0.0118885845618463
"VNM",-0.0193262782273535,0.00739997866289135,24.8484615384615,-0.0114884624732571
"VUT",-0.0255440553076334,0.0391507716699548,24.8425806451613,-0.0114827335836341
"WSM",-0.0145897996905761,0.0163358345452065,26.1457142857143,-0.0127521850784271
"YEM",0.00796460393190065,0.00648498064286385,23.12,-0.00980467654723257
"ZAF",-0.0327079161558503,0.0104818749204646,17.4424,-0.00427382569468435
"ZAR",0.0193024321255017,0.0348556436678838,23.2356,-0.00991728862954809
"ZMB",-0.031317946775435,0.0149548351772712,21.185,-0.00791969056729725
"ZWE",-0.0185134224027964,0.0270221236320936,20.3022,-0.00705970833314381
