"iso","b","se","meantemp","fit"
"AFG",-0.117559217933487,0.0450389772401708,13.1275,-7.04530823727595e-05
"AGO",0.0127873379756552,0.0710710139511393,22.0548,-0.008767008812955
"ALB",0.0667111966351013,0.0380353214423688,13.419,-0.000354418670564568
"ARE",0.0566969277746246,0.0329154482152315,26.916,-0.0135025611879739
"ARG",0.0179173026136686,0.029332265643765,17.2254347826087,-0.00406246838568372
"ARM",0.0366201125718106,0.0347773390843006,8.3705,0.0045635925540884
"AUS",-0.0105785684670594,0.00940106578887104,16.5526,-0.00340702438980247
"AUT",0.00458032289991973,0.00441801334514431,7.7052,0.00521169651917934
"AZE",0.0724772579652645,0.0420527909380742,12.972,8.10277030949113e-05
"BDI",-0.0241930407218303,0.0189066786427487,20.2312,-0.00699054347289812
"BEL",0.00551785973215095,0.00402443293836858,9.9498,0.00302511278245436
"BEN",0.0264655042019523,0.0175507936393235,27.1094,-0.0136909623706713
"BFA",-0.0254293984560072,0.0155629068271773,27.852,-0.0144143683596636
"BGD",-0.00288186695408049,0.0205506918357863,25.6222,-0.0122422020867644
"BGR",0.0147303395178928,0.0241837801606728,10.1676666666667,0.00281287732397275
"BHS",-0.00215456572141441,0.030391263048074,25.3092,-0.0119372922099067
"BIH",-0.0890683012937148,0.059914453698148,9.66,0.00330742231061212
"BLR",-0.0189593326460805,0.0201588050850699,6.7575,0.00613490128051511
"BLZ",0.0112279904685542,0.0197194974166217,25.8178,-0.0124327464059765
"BOL",-0.0159297921266933,0.0133645914076132,17.4196,-0.00425161500716884
"BRA",0.0140346523369541,0.0220208887459193,22.0328,-0.00874557744780844
"BRN",-0.0165222012892495,0.0446966237493503,27.1125,-0.0136939822448511
"BTN",-0.0147688650395141,0.0304796775688389,12.7486666666667,0.000298588531097781
"BWA",0.0137120806771101,0.0162952263099211,20.9548,-0.00769544055562742
"CAF",-0.0236742713731131,0.0196372176301445,24.958,-0.0115951696899308
"CAN",0.00382363948784956,0.00518043038134634,5.6532,0.00721065839557587
"CHE",-0.00685894046400077,0.00784460872387498,7.35625,0.00555162719499248
"CHL",0.00262978737112992,0.0203394257255006,9.855,0.00311746248317678
"CHN",-0.0162845771523257,0.0321924225865687,14.072,-0.000990540554232663
"CIV",9.28767716702278e-06,0.0239438409328093,26.2288,-0.0128331232730325
"CMR",-0.00355706138928756,0.0345033297241489,24.2184,-0.0108746861598222
"COG",-0.0334721133749938,0.0264670172861069,24.8308,-0.0114712574332653
"COL",0.000603710216990159,0.0112275539686361,20.5262,-0.00727791859645415
"COM",0.0212554626867759,0.0161326052369847,25.3203333333333,-0.0119481377795415
"CPV",-0.00766686539716981,0.0207961404823694,21.061,-0.0077988956001076
"CRI",-0.0055934244128699,0.0127621966269994,22.13,-0.00884026511563776
"CUB",0.00245404288247799,0.0410421441234964,25.323,-0.0119507355207713
"CYP",-0.00356601410041366,0.0122923710945312,18.792,-0.00558854253112917
"CZE",0.0066015170195079,0.0121654522749238,7.9615,0.00496202111522202
