"cutoff","t_temp","p_temp_two_sided","sig_temp_5pct","sig_temp_10pct","t_temp2","p_temp2_two_sided","sig_temp2_5pct","sig_temp2_10pct"
200,3.51365112148955,0.000441992914137648,TRUE,TRUE,-4.30263473432818,1.6877897101611e-05,TRUE,TRUE
300,3.45310463605807,0.000554173996601602,TRUE,TRUE,-4.26171279769864,2.02866053585285e-05,TRUE,TRUE
400,3.39336799739554,0.000690388234524616,TRUE,TRUE,-4.22204151879482,2.42099499618572e-05,TRUE,TRUE
500,3.35052931440419,0.000806572717676181,TRUE,TRUE,-4.19619376521173,2.7143804952895e-05,TRUE,TRUE
600,3.31424908298576,0.000918896108980988,TRUE,TRUE,-4.17422611899915,2.99000674764159e-05,TRUE,TRUE
700,3.28556033758482,0.00101779740876395,TRUE,TRUE,-4.1544060118087,3.26133636030496e-05,TRUE,TRUE
800,3.26572548790662,0.00109184038201208,TRUE,TRUE,-4.13730533524552,3.51408355131836e-05,TRUE,TRUE
900,3.25007946963036,0.00115372763102656,TRUE,TRUE,-4.12009624376844,3.78714171334016e-05,TRUE,TRUE
1000,3.24037964093186,0.00119370654179272,TRUE,TRUE,-4.10630878737259,4.02031967503087e-05,TRUE,TRUE
1100,3.23287457448693,0.00122551356007949,TRUE,TRUE,-4.09280557933377,4.26185045902118e-05,TRUE,TRUE
1200,3.22699263218252,0.00125098681344174,TRUE,TRUE,-4.08139659720016,4.476589296942e-05,TRUE,TRUE
1300,3.22333993038319,0.0012670509218945,TRUE,TRUE,-4.0694017847165,4.71340036988593e-05,TRUE,TRUE
1400,3.22228577698891,0.00127172223864288,TRUE,TRUE,-4.05753943110753,4.95924461621211e-05,TRUE,TRUE
1500,3.22240661373861,0.0012711859637501,TRUE,TRUE,-4.04638630503877,5.20143698086656e-05,TRUE,TRUE
1600,3.22309355865654,0.00126814125915246,TRUE,TRUE,-4.03670348260939,5.42075106626559e-05,TRUE,TRUE
1700,3.22348198920131,0.00126642262299344,TRUE,TRUE,-4.02739337517324,5.63986297094574e-05,TRUE,TRUE
1800,3.22404877936964,0.00126391868094754,TRUE,TRUE,-4.01854793920523,5.85578962282728e-05,TRUE,TRUE
1900,3.22392529572466,0.00126446381211566,TRUE,TRUE,-4.00848756592478,6.11088556526826e-05,TRUE,TRUE
2000,3.22398356665669,0.00126420654209007,TRUE,TRUE,-3.99793840789868,6.38965714131639e-05,TRUE,TRUE
