"h","b0_hot","b0_bliss","b0_cold","se_hot","se_bliss","se_cold","ann_hot","ann_bliss","ann_cold","alpha_hot","alpha_bliss","alpha_cold","nobs"
0,-0.0129921039084616,-0.00135784035957965,0.00639833533967502,0.00355934634519485,0.00182866644656839,0.00234810562138119,-0.0129921039084616,-0.00135784035957965,0.00639833533967502,1,1,1,6086
1,-0.0109300367109266,-0.000353357037689286,0.00669776274446893,0.00509301571194905,0.0028767262649338,0.00427054105049927,-0.0054650183554633,-0.000176678518844643,0.00334888137223447,0.321326666727461,0.32451657820928,0.326643185863827,6083
2,-0.0110452010960582,-0.00175701634136695,0.00443510682842722,0.00692671568683127,0.00404644347980248,0.00591216003727952,-0.00368173369868607,-0.000585672113788984,0.00147836894280907,0.174110505417027,0.135380240049105,0.109560063137157,6079
3,-0.0186036503463747,-0.00498576693211456,0.00409282201072554,0.00871793186719482,0.00511713853232391,0.00742447885858469,-0.00465091258659368,-0.00124644173302864,0.00102320550268139,0.162109081368396,0.0252750306090778,-0.0659476698971344,6068
4,-0.0153399015071815,-0.00407037026351358,0.00344265056559839,0.00989889130826481,0.00591834548036318,0.00859250082623475,-0.00306798030143631,-0.000814074052702717,0.000688530113119678,0.136923836879721,-0.236897478235032,-0.486111688311535,5968
5,-0.0118439553673303,-0.00212265145049621,0.00435821782739317,0.0103150377392477,0.00603153129141327,0.00830005346722844,-0.00197399256122171,-0.000353775241749368,0.000726369637898862,0.109382376053532,-0.0986419411191836,-0.237324819234328,5868
