term,estimate,std_error,t_stat
tau,0.0106543600272274,0.0166455401269158,0.640072953235046
tau_x_Tbar,-0.00077586978962781,0.00168219979037008,-0.461223330349554
prec,0.00015824403792756,4.75146465064616e-05,3.33042650135343
prec2,-3.05207893067625e-08,1.00005486741456e-06,-0.0305191148018385
