"h","b","se","t","p","sig10","sig5"
0,-0.00135784035957965,0.00182866644656839,-0.742530362564329,0.457766062762465,FALSE,FALSE
1,-0.000353357037689286,0.0028767262649338,-0.122833041849193,0.902239308764378,FALSE,FALSE
2,-0.00175701634136695,0.00404644347980248,-0.434212500467872,0.664134136429996,FALSE,FALSE
3,-0.00498576693211456,0.00511713853232391,-0.974327136273622,0.329894135048025,FALSE,FALSE
4,-0.00407037026351358,0.00591834548036318,-0.687754757984118,0.491607230769645,FALSE,FALSE
5,-0.00212265145049621,0.00603153129141327,-0.351925795944738,0.724893912832994,FALSE,FALSE
