"x","interact","estimate","min90","max90","model"
0,0,0,0,0,"growthWDI"
0,1,0,0,0,"growthWDI"
1,0,0.00857848636385779,0.00167097423747559,0.01548599849024,"growthWDI"
1,1,0.024660932469338,-0.00339839209118721,0.0527202570298632,"growthWDI"
2,0,0.0165260788927332,0.0032025575126406,0.0298496002728258,"growthWDI"
2,1,0.047777961868258,-0.00716613960035654,0.102722063336873,"growthWDI"
3,0,0.0238427775866262,0.00458056873813463,0.0431049864351179,"growthWDI"
3,1,0.06935108819676,-0.0113059337609745,0.150008110154495,"growthWDI"
4,0,0.0305285824455369,0.00578861622316767,0.0552685486679062,"growthWDI"
4,1,0.089380311454844,-0.0158207058161304,0.194581328725818,"growthWDI"
5,0,0.0365834934694652,0.00680772568812948,0.0663592612508009,"growthWDI"
5,1,0.10786563164251,-0.0207136538248788,0.236444917109899,"growthWDI"
6,0,0.0420075106584111,0.00761591344082439,0.0763991078759979,"growthWDI"
6,1,0.124807048759758,-0.0259882730601619,0.275602370579678,"growthWDI"
7,0,0.0468006340123747,0.00818770371183612,0.0854135643129132,"growthWDI"
7,1,0.140204562806588,-0.0316483905577437,0.31205751617092,"growthWDI"
8,0,0.0509628635313559,0.00849359398045114,0.0934321330822606,"growthWDI"
8,1,0.154058173783,-0.0376982044743539,0.345814552040354,"growthWDI"
9,0,0.0544941992153547,0.00849947992492369,0.100488918505786,"growthWDI"
9,1,0.166367881688994,-0.0441423290313274,0.376878092409315,"growthWDI"
10,0,0.0573946410643711,0.00816606332561647,0.106623218803126,"growthWDI"
10,1,0.17713368652457,-0.0509858459615072,0.405253219010647,"growthWDI"
11,0,0.0596641890784051,0.00744828255628194,0.111880095600528,"growthWDI"
11,1,0.186355588289728,-0.0582343635470599,0.430945540126515,"growthWDI"
12,0,0.0613028432574568,0.00629482621137403,0.11631086030354,"growthWDI"
12,1,0.194033586984468,-0.0658940845402166,0.453961258509152,"growthWDI"
13,0,0.0623106036015261,0.00464781436613317,0.119973392836919,"growthWDI"
13,1,0.20016768260879,-0.0739718845052449,0.474307249722824,"growthWDI"
14,0,0.062687470110613,0.00244275474420937,0.122932185477017,"growthWDI"
14,1,0.204757875162693,-0.082475402417243,0.49199115274263,"growthWDI"
15,0,0.0624334427847176,-0.000391105075238263,0.125257990644673,"growthWDI"
15,1,0.207804164646179,-0.0914131457126293,0.507021475004988,"growthWDI"
16,0,0.0615485216238398,-0.00392991447934932,0.127026957727029,"growthWDI"
16,1,0.209306551059247,-0.10079461242079,0.519407714539284,"growthWDI"
17,0,0.0600327066279796,-0.00825376902879711,0.128319182284756,"growthWDI"
17,1,0.209265034401897,-0.110630433532223,0.529160502336017,"growthWDI"
18,0,0.057885997797137,-0.0134446729939949,0.129216668588269,"growthWDI"
18,1,0.207679614674129,-0.120932539394649,0.536291768742906,"growthWDI"
19,0,0.0551083951313121,-0.0195840275570866,0.129800817819711,"growthWDI"
19,1,0.204550291875943,-0.131714354697195,0.54081493844908,"growthWDI"
20,0,0.0516998986305048,-0.0267498782820521,0.130149675543062,"growthWDI"
20,1,0.199877066007338,-0.142991027529311,0.542745159543988,"growthWDI"
21,0,0.0476605082947151,-0.0350142470968535,0.130335263686284,"growthWDI"
21,1,0.193659937068316,-0.154779699113703,0.542099573250336,"growthWDI"
22,0,0.0429902241239431,-0.0444408960202171,0.130421344268103,"growthWDI"
22,1,0.185898905058876,-0.167099822140631,0.538897632258383,"growthWDI"
23,0,0.0376890461181886,-0.0550838033274111,0.130461895563788,"growthWDI"
23,1,0.176593969979018,-0.179973537202,0.533161477160036,"growthWDI"
24,0,0.0317569742774518,-0.0669864942869236,0.130500442841827,"growthWDI"
24,1,0.165745131828742,-0.193426118657651,0.524916382315134,"growthWDI"
25,0,0.0251940086017326,-0.0801822044495853,0.130570221653051,"growthWDI"
25,1,0.153352390608048,-0.207486503365191,0.514191284581286,"growthWDI"
26,0,0.0180001490910311,-0.0946947168845223,0.130695015066584,"growthWDI"
26,1,0.139415746316935,-0.222187918034948,0.501019410668819,"growthWDI"
27,0,0.0101753957453471,-0.110539640416239,0.130890431906933,"growthWDI"
27,1,0.123935198955405,-0.237568623435013,0.485439021345823,"growthWDI"
28,0,0.00171974856468085,-0.127725888862737,0.131165385992099,"growthWDI"
28,1,0.106910748523457,-0.253672796058255,0.467494293105169,"growthWDI"
29,0,-0.00736679245096783,-0.146257163108696,0.13152357820676,"growthWDI"
29,1,0.0883423950210905,-0.270551569779978,0.447236359822159,"growthWDI"
30,0,-0.0170842273015989,-0.166133301646353,0.131964847043156,"growthWDI"
30,1,0.0682301384483063,-0.288264260794026,0.424724537690638,"growthWDI"
0,0,0,0,0,"AgrGDPgrowthCap"
0,1,0,0,0,"AgrGDPgrowthCap"
1,0,0.0230184582329055,0.0097356662334716,0.0363012502323394,"AgrGDPgrowthCap"
1,1,0.014692725370536,-0.0347709131150179,0.0641563638560899,"AgrGDPgrowthCap"
2,0,0.0442993271360361,0.0186638155776694,0.0699348386944028,"AgrGDPgrowthCap"
2,1,0.0281039106426236,-0.0686572551470989,0.124865076432346,"AgrGDPgrowthCap"
3,0,0.0638426067093918,0.0267638353495439,0.10092137806924,"AgrGDPgrowthCap"
3,1,0.040233555816263,-0.101662440742939,0.182129552375465,"AgrGDPgrowthCap"
4,0,0.0816482969529726,0.0340119407238089,0.129284653182136,"AgrGDPgrowthCap"
4,1,0.0510816608914539,-0.133790204283667,0.235953526066575,"AgrGDPgrowthCap"
5,0,0.0977163978667784,0.0403806234280344,0.155052172305522,"AgrGDPgrowthCap"
5,1,0.0606482258681965,-0.165044637687703,0.286341089424096,"AgrGDPgrowthCap"
6,0,0.112046909450809,0.0458380055246901,0.178255813376929,"AgrGDPgrowthCap"
6,1,0.0689332507464908,-0.195430233626107,0.333296735119089,"AgrGDPgrowthCap"
