"iso","year","growthWDI","temp","temp2","prec","prec2","iso_id","GDPpctile_WDIppp","time","time2"
"AFG",2003,0.0407527,12.6825,160.84580625,425.47,181024.7209,"AFG",6,0,0
"AFG",2004,-0.0278005,13.5333333333333,183.151111111111,378.41,143194.1281,"AFG",6,1,1
"AFG",2005,0.0714752,12.7141666666667,161.650034027778,459.58,211213.7764,"AFG",6,2,4
"AFG",2006,0.0235347,13.4158333333333,179.984584027778,455.81,207762.7561,"AFG",6,3,9
"AFG",2007,0.1011208,13.1491666666667,172.900584027778,401.35,161081.8225,"AFG",6,4,16
"AFG",2008,0.0098878,13.2591666666667,175.805500694444,373.11,139211.0721,"AFG",6,5,25
"AFG",2009,0.1660917,13.1966666666667,174.152011111111,493.34,243384.3556,"AFG",6,6,36
"AFG",2010,0.0563808,13.4608333333333,181.194034027778,381.54,145572.7716,"AFG",6,7,49
"AFG",2014,-0.00939984755736006,12.905,166.539025,380.74,144962.9476,"AFG",6,11,121
"AFG",2015,-0.0166505744749013,13.1425,172.72530625,546.62,298793.4244,"AFG",6,12,144
"AFG",2016,-0.00300121027406746,13.6983333333333,187.644336111111,477.66,228159.0756,"AFG",6,13,169
"AFG",2017,-0.00195569548342789,13.3658333333333,178.645500694444,364.39,132780.0721,"AFG",6,14,196
"AFG",2018,-0.0171374269254262,13.82,190.9924,333.06,110928.9636,"AFG",6,15,225
"AFG",2019,0.00856294729087764,13.0791666666667,171.064600694444,487.09,237256.6681,"AFG",6,16,256
"AFG",2020,-0.0538251464221077,12.515,156.625225,515.71,265956.8041,"AFG",6,17,289
"AFG",2021,-0.225844818732987,13.8266666666667,191.176711111111,254.65,64846.6225,"AFG",6,18,324
"AFG",2022,-0.0757666891152213,14.1025,198.88050625,368.18,135556.5124,"AFG",6,19,361
"AGO",1986,-0.0003487,22.4041666666667,501.946684027778,1025.79,1052245.1241,"AGO",39,0,0
"AGO",1987,0.0505754,22.7041666666667,515.479184027778,878.02,770919.1204,"AGO",39,1,1
"AGO",1988,0.0299989,22.5516666666667,508.577669444444,970.58,942025.5364,"AGO",39,2,4
"AGO",1989,-0.0215094,22.3541666666667,499.708767361111,759.25,576460.5625,"AGO",39,3,9
"AGO",1990,-0.0307435,22.4483333333333,503.927669444444,899.21,808578.6241,"AGO",39,4,16
"AGO",1991,-0.0424642,22.3691666666667,500.379617361111,950.87,904153.7569,"AGO",39,5,25
"AGO",1992,-0.1038261,22.28,496.3984,805.59,648975.2481,"AGO",39,6,36
"AGO",1993,-0.316712,22.35,499.5225,865.68,749401.8624,"AGO",39,7,49
"AGO",1994,0.0022752,22.2991666666667,497.252834027778,884.67,782641.0089,"AGO",39,8,64
"AGO",1995,0.0686194,22.52,507.1504,870.83,758344.8889,"AGO",39,9,81
"AGO",1996,0.077898,22.3058333333333,497.550200694444,881.07,776284.3449,"AGO",39,10,100
"AGO",1997,0.0491394,22.4325,503.21705625,928.81,862688.0161,"AGO",39,11,121
"AGO",1998,0.0391305,22.8441666666667,521.855950694444,920.5,847320.25,"AGO",39,12,144
"AGO",1999,0.0038824,22.3625,500.08140625,944.3,891702.49,"AGO",39,13,169
"AGO",2000,-0.000529,22.3733333333333,500.566044444445,902.67,814813.1289,"AGO",39,14,196
"AGO",2001,0.0088182,22.5841666666667,510.044584027778,902.28,814109.1984,"AGO",39,15,225
"AGO",2002,0.0952098,22.6558333333333,513.286784027778,926.54,858476.3716,"AGO",39,16,256
"AGO",2003,0.0158698,22.6533333333333,513.173511111111,904.46,818047.8916,"AGO",39,17,289
"AGO",2004,0.0678763,22.5558333333333,508.765617361111,930.42,865681.3764,"AGO",39,18,324
"AGO",2005,0.1328146,22.705,515.517025,894.4,799951.36,"AGO",39,19,361
"AGO",2006,0.1540862,22.5266666666667,507.450711111111,956.72,915313.1584,"AGO",39,20,400
"AGO",2007,0.1697998,22.495,506.025025,925.98,857438.9604,"AGO",39,21,441
