"h","b","se","t","p","sig10","sig5"
0,0.00639833533967502,0.00234810562138119,2.72489247562528,0.00643224309233254,TRUE,TRUE
1,0.00669776274446893,0.00427054105049927,1.56836397666424,0.116796213078676,FALSE,FALSE
2,0.00443510682842722,0.00591216003727952,0.750166910310505,0.453154185161381,FALSE,FALSE
3,0.00409282201072554,0.00742447885858469,0.551260511166132,0.581455104313794,FALSE,FALSE
4,0.00344265056559839,0.00859250082623475,0.400657577487481,0.68867224819872,FALSE,FALSE
5,0.00435821782739317,0.00830005346722844,0.525083102729514,0.599525421961675,FALSE,FALSE
