"spec","n_obs","n_cty","b_temp","se_temp","b_temp2","se_temp2","opt_T","ME_20"
"BHM original (UDel, 1960-2013)",6584,166,0.0127183479238592,0.003737444338689,-0.00048709026924976,0.000116820618342991,13.0554321516714,-0.00676526284613117
"Extended CRU (1960-2022)",8038,166,0.0148737467508428,0.0039460569174462,-0.000503502848366072,0.000107484199802517,14.7702707135719,-0.00526636718380007
"Extended ERA5 (1960-2022)",8038,166,0.0131475165580066,0.00349248632268781,-0.00052301301730718,9.93737387939489e-05,12.5690146544524,-0.00777300413428057
"Hybrid UDel+CRU (1960-2022)",8038,166,0.0117412973129086,0.00350928808716801,-0.000400609560509421,0.000109351766099768,14.6542899500179,-0.00428308510746823
