"model","beta1","se1","beta2","se2","nobs"
"BHM baseline",0.0127183479238035,0.00373744427674279,-0.000487090269248212,0.000116820592159131,6584
"A: BHM+lags",0.0101124088216821,0.00342236622988437,-0.000469837149482428,0.000114209226776602,6086
"C: Levels OLS",0.0174650702576286,0.00624069322270568,-0.00040251917591678,0.000274269846810864,7351
"D: NRK shock+lags",0.00836373742120849,0.00314514020127799,-0.000876456625384222,0.000224216316622483,5779
