"h","beta","se","beta_cold","se_cold","beta_hot","se_hot"
0,NA,NA,NA,NA,NA,NA
1,-0.000803424716700391,0.00148941049858134,-0.000803424716700391,0.00148941049858134,0.0077416342026382,0.0036786722639942
2,-0.00309074450239269,0.00267353936431493,-0.00309074450239269,0.00267353936431493,0.0071854840715926,0.00520886063405249
3,-0.00671230111382225,0.0035234982988134,-0.00671230111382225,0.0035234982988134,-0.000288469011108145,0.00654694281408812
4,-0.00631410858471675,0.00444208586427524,-0.00631410858471675,0.00444208586427524,0.00656071677335067,0.00807672066169803
5,-0.00487921744843133,0.00408414232027478,-0.00487921744843133,0.00408414232027478,0.0109094355563713,0.00875940842701388
6,-0.00131710960044595,0.00435091106423915,-0.00131710960044595,0.00435091106423915,0.00823536839077716,0.00887052150355105
7,0.00263221312354977,0.00396539960981193,0.00263221312354977,0.00396539960981193,0.00025922595441875,0.00915492604459815
8,0.0023583300247159,0.00443272372494411,0.0023583300247159,0.00443272372494411,-0.000171434505364308,0.0106988958526899
9,0.00141453443521817,0.00439110431820823,0.00141453443521817,0.00439110431820823,0.00254986633662557,0.0117937437462393
10,-0.00231467007012981,0.00472879079298341,-0.00231467007012981,0.00472879079298341,0.0034653443570927,0.0119888121020014
