"iso","year","growthWDI","temp","temp2","prec","prec2","iso_id","GDPpctile_WDIppp","time","time2"
"AFG",2003,0.0407527,12.0325,144.78105625,474.02,224694.9604,"AFG",6,0,0
"AFG",2004,-0.0278005,12.8091666666667,164.074750694444,403.35,162691.2225,"AFG",6,1,1
"AFG",2005,0.0714752,11.4766666666667,131.713877777778,474.01,224685.4801,"AFG",6,2,4
"AFG",2006,0.0235347,12.7866666666667,163.498844444444,473.53,224230.6609,"AFG",6,3,9
"AFG",2007,0.1011208,12.0908333333333,146.188250694444,423.73,179547.1129,"AFG",6,4,16
"AFG",2008,0.0098878,12.2708333333333,150.573350694444,366.82,134556.9124,"AFG",6,5,25
"AFG",2009,0.1660917,11.625,135.140625,538.57,290057.6449,"AFG",6,6,36
"AFG",2010,0.0563808,12.8891666666667,166.130617361111,463.4,214739.56,"AFG",6,7,49
"AFG",2014,-0.00939984755736006,11.75,138.0625,468.82,219792.1924,"AFG",6,11,121
"AFG",2015,-0.0166505744749013,12.3783333333333,153.223136111111,514.29,264494.2041,"AFG",6,12,144
"AFG",2016,-0.00300121027406746,13.3875,179.22515625,425.95,181433.4025,"AFG",6,13,169
"AFG",2017,-0.00195569548342789,13.0925,171.41355625,414.75,172017.5625,"AFG",6,14,196
"AFG",2018,-0.0171374269254262,13.365,178.623225,392.55,154095.5025,"AFG",6,15,225
"AFG",2019,0.00856294729087764,12.4541666666667,155.106267361111,554.71,307703.1841,"AFG",6,16,256
"AFG",2020,-0.0538251464221077,11.9291666666667,142.305017361111,525.12,275751.0144,"AFG",6,17,289
"AFG",2021,-0.225844818732987,13.5333333333333,183.151111111111,314.69,99029.7961,"AFG",6,18,324
"AFG",2022,-0.0757666891152213,13.0891666666667,171.326284027778,421.31,177502.1161,"AFG",6,19,361
"AGO",1986,-0.0003487,22.285,496.621225,933.7,871795.69,"AGO",39,0,0
"AGO",1987,0.0505754,22.8808333333333,523.532534027778,915.67,838451.5489,"AGO",39,1,1
"AGO",1988,0.0299989,22.745,517.335025,1060.61,1124893.5721,"AGO",39,2,4
"AGO",1989,-0.0215094,22.5266666666667,507.450711111111,859.5,738740.25,"AGO",39,3,9
"AGO",1990,-0.0307435,22.7216666666667,516.274136111111,965.04,931302.2016,"AGO",39,4,16
"AGO",1991,-0.0424642,22.5616666666667,509.028802777778,916.95,840797.3025,"AGO",39,5,25
"AGO",1992,-0.1038261,22.1941666666667,492.581034027778,945.09,893195.1081,"AGO",39,6,36
"AGO",1993,-0.316712,22.5608333333333,508.991200694445,964.4,930067.36,"AGO",39,7,49
"AGO",1994,0.0022752,22.4675,504.78855625,1009.79,1019675.8441,"AGO",39,8,64
"AGO",1995,0.0686194,22.7391666666667,517.069700694444,1021.46,1043380.5316,"AGO",39,9,81
"AGO",1996,0.077898,22.5633333333333,509.104011111111,903.91,817053.2881,"AGO",39,10,100
"AGO",1997,0.0491394,22.6116666666667,511.287469444445,923.72,853258.6384,"AGO",39,11,121
"AGO",1998,0.0391305,23.3658333333333,545.962167361111,1004.11,1008236.8921,"AGO",39,12,144
"AGO",1999,0.0038824,22.565,509.179225,1160.38,1346481.7444,"AGO",39,13,169
"AGO",2000,-0.000529,22.4641666666667,504.638784027778,900.36,810648.1296,"AGO",39,14,196
"AGO",2001,0.0088182,22.4583333333333,504.376736111111,958.26,918262.2276,"AGO",39,15,225
"AGO",2002,0.0952098,22.5925,510.42105625,1116.35,1246237.3225,"AGO",39,16,256
"AGO",2003,0.0158698,22.7775,518.81450625,1054.65,1112286.6225,"AGO",39,17,289
"AGO",2004,0.0678763,22.3925,501.42405625,1000.13,1000260.0169,"AGO",39,18,324
"AGO",2005,0.1328146,22.6025,510.87300625,1067.09,1138681.0681,"AGO",39,19,361
"AGO",2006,0.1540862,22.3441666666667,499.261784027778,1033.35,1067812.2225,"AGO",39,20,400
