"h","b","se","t","p","sig10","sig5"
0,-0.0129921039084616,0.00355934634519485,-3.65013759506744,0.000262099869185168,TRUE,TRUE
1,-0.0109300367109266,0.00509301571194905,-2.14608344625424,0.03186632172938,TRUE,TRUE
2,-0.0110452010960582,0.00692671568683127,-1.59457982620202,0.110806226843574,FALSE,FALSE
3,-0.0186036503463747,0.00871793186719482,-2.13395225264141,0.0328466895203511,TRUE,TRUE
4,-0.0153399015071815,0.00989889130826481,-1.54965854553569,0.121223492912024,FALSE,FALSE
5,-0.0118439553673303,0.0103150377392477,-1.14822220400273,0.250876845251501,FALSE,FALSE
