"temp","bhm","nrk_simple","nrk_ar","ms_within","ms_hybrid"
-5,0.0175892506162856,0.0171222398935253,0.0126299477656537,0.187417308172897,0.137988943277131
-4.5,0.0171021603470374,0.016641964098979,0.0122335871557245,0.183508589428672,0.135003708607281
-4,0.0166150700777892,0.0161616883044326,0.0118372265457953,0.179599870684447,0.132018473937431
-3.5,0.016127979808541,0.0156814125098862,0.0114408659358661,0.175691151940223,0.129033239267582
-3,0.0156408895392928,0.0152011367153398,0.0110445053259369,0.171782433195998,0.126048004597732
-2.5,0.0151537992700446,0.0147208609207935,0.0106481447160077,0.167873714451773,0.123062769927883
-2,0.0146667090007963,0.0142405851262471,0.0102517841060785,0.163964995707548,0.120077535258033
-1.5,0.0141796187315481,0.0137603093317007,0.00985542349614927,0.160056276963323,0.117092300588184
-1,0.0136925284622999,0.0132800335371543,0.00945906288622005,0.156147558219098,0.114107065918334
-0.5,0.0132054381930517,0.0127997577426079,0.00906270227629084,0.152238839474874,0.111121831248485
0,0.0127183479238035,0.0123194819480616,0.00866634166636163,0.148330120730649,0.108136596578635
0.5,0.0122312576545553,0.0118392061535152,0.00826998105643242,0.144421401986424,0.105151361908786
1,0.0117441673853071,0.0113589303589688,0.00787362044650321,0.140512683242199,0.102166127238936
1.5,0.0112570771160589,0.0108786545644224,0.007477259836574,0.136603964497974,0.0991808925690865
2,0.0107699868468106,0.010398378769876,0.00708089922664479,0.13269524575375,0.0961956578992369
2.5,0.0102828965775624,0.00991810297532967,0.00668453861671558,0.128786527009525,0.0932104232293874
3,0.00979580630831423,0.00943782718078329,0.00628817800678637,0.1248778082653,0.0902251885595378
3.5,0.00930871603906601,0.00895755138623691,0.00589181739685715,0.120969089521075,0.0872399538896883
4,0.0088216257698178,0.00847727559169053,0.00549545678692794,0.11706037077685,0.0842547192198387
4.5,0.00833453550056959,0.00799699979714416,0.00509909617699873,0.113151652032625,0.0812694845499892
5,0.00784744523132138,0.00751672400259778,0.00470273556706952,0.109242933288401,0.0782842498801396
5.5,0.00736035496207316,0.0070364482080514,0.00430637495714031,0.105334214544176,0.0752990152102901
6,0.00687326469282495,0.00655617241350502,0.0039100143472111,0.101425495799951,0.0723137805404405
6.5,0.00638617442357674,0.00607589661895864,0.00351365373728189,0.0975167770557261,0.069328545870591
7,0.00589908415432853,0.00559562082441226,0.00311729312735268,0.0936080583115012,0.0663433112007414
7.5,0.00541199388508032,0.00511534502986589,0.00272093251742346,0.0896993395672764,0.0633580765308919
8,0.0049249036158321,0.00463506923531951,0.00232457190749425,0.0857906208230516,0.0603728418610423
8.5,0.00443781334658389,0.00415479344077313,0.00192821129756504,0.0818819020788268,0.0573876071911928
9,0.00395072307733568,0.00367451764622675,0.00153185068763583,0.0779731833346019,0.0544023725213432
9.5,0.00346363280808747,0.00319424185168037,0.00113549007770662,0.0740644645903771,0.0514171378514937
10,0.00297654253883925,0.002713966057134,0.000739129467777407,0.0701557458461523,0.0484319031816441
10.5,0.00248945226959104,0.00223369026258762,0.000342768857848197,0.0662470271019275,0.0454466685117946
11,0.00200236200034283,0.00175341446804124,-5.35917520810142e-05,0.0623383083577026,0.042461433841945
11.5,0.00151527173109462,0.00127313867349486,-0.000449952362010226,0.0584295896134778,0.0394761991720955
12,0.00102818146184641,0.000792862878948484,-0.000846312971939437,0.054520870869253,0.036490964502246
12.5,0.000541091192598195,0.000312587084402105,-0.00124267358186865,0.0506121521250281,0.0335057298323964
13,5.40009233499835e-05,-0.000167688710144272,-0.00163903419179786,0.0467034333808033,0.0305204951625469
13.5,-0.00043308934589823,-0.000647964504690651,-0.00203539480172707,0.0427947146365785,0.0275352604926973
14,-0.000920179615146441,-0.00112824029923703,-0.00243175541165628,0.0388859958923536,0.0245500258228478
14.5,-0.00140726988439465,-0.00160851609378341,-0.00282811602158549,0.0349772771481288,0.0215647911529982
15,-0.00189436015364287,-0.00208879188832979,-0.0032244766315147,0.031068558403904,0.0185795564831487
15.5,-0.00238145042289108,-0.00256906768287616,-0.00362083724144392,0.0271598396596792,0.0155943218132991
16,-0.00286854069213929,-0.00304934347742254,-0.00401719785137313,0.0232511209154543,0.0126090871434496
16.5,-0.0033556309613875,-0.00352961927196892,-0.00441355846130234,0.0193424021712295,0.00962385247360003
17,-0.00384272123063571,-0.0040098950665153,-0.00480991907123155,0.0154336834270047,0.00663861780375049
17.5,-0.00432981149988393,-0.00449017086106168,-0.00520627968116076,0.0115249646827798,0.00365338313390094
18,-0.00481690176913214,-0.00497044665560805,-0.00560264029108997,0.00761624593855501,0.000668148464051393
18.5,-0.00530399203838035,-0.00545072245015443,-0.00599900090101918,0.00370752719433018,-0.00231708620579815
19,-0.00579108230762856,-0.00593099824470081,-0.00639536151094839,-0.000201191549894646,-0.0053023208756477
19.5,-0.00627817257687677,-0.00641127403924719,-0.0067917221208776,-0.00410991029411947,-0.00828755554549725
20,-0.00676526284612499,-0.00689154983379357,-0.00718808273080682,-0.0080186290383443,-0.0112727902153468
20.5,-0.0072523531153732,-0.00737182562833994,-0.00758444334073603,-0.0119273477825691,-0.0142580248851963
21,-0.00773944338462141,-0.00785210142288632,-0.00798080395066524,-0.015836066526794,-0.0172432595550459
21.5,-0.00822653365386962,-0.0083323772174327,-0.00837716456059445,-0.0197447852710188,-0.0202284942248954
22,-0.00871362392311784,-0.00881265301197908,-0.00877352517052366,-0.0236535040152436,-0.023213728894745
22.5,-0.00920071419236605,-0.00929292880652546,-0.00916988578045287,-0.0275622227594684,-0.0261989635645945
23,-0.00968780446161426,-0.00977320460107184,-0.00956624639038208,-0.0314709415036933,-0.0291841982344441
23.5,-0.0101748947308625,-0.0102534803956182,-0.0099626070003113,-0.0353796602479181,-0.0321694329042936
24,-0.0106619850001107,-0.0107337561901646,-0.0103589676102405,-0.0392883789921429,-0.0351546675741432
24.5,-0.0111490752693589,-0.011214031984711,-0.0107553282201697,-0.0431970977363678,-0.0381399022439927
25,-0.0116361655386071,-0.0116943077792574,-0.0111516888300989,-0.0471058164805926,-0.0411251369138423
25.5,-0.0121232558078553,-0.0121745835738037,-0.0115480494400281,-0.0510145352248174,-0.0441103715836918
26,-0.0126103460771035,-0.0126548593683501,-0.0119444100499574,-0.0549232539690422,-0.0470956062535414
26.5,-0.0130974363463517,-0.0131351351628965,-0.0123407706598866,-0.0588319727132671,-0.0500808409233909
27,-0.0135845266156,-0.0136154109574429,-0.0127371312698158,-0.0627406914574919,-0.0530660755932405
27.5,-0.0140716168848482,-0.0140956867519892,-0.013133491879745,-0.0666494102017167,-0.05605131026309
28,-0.0145587071540964,-0.0145759625465356,-0.0135298524896742,-0.0705581289459416,-0.0590365449329395
28.5,-0.0150457974233446,-0.015056238341082,-0.0139262130996034,-0.0744668476901664,-0.0620217796027891
29,-0.0155328876925928,-0.0155365141356284,-0.0143225737095326,-0.0783755664343912,-0.0650070142726386
29.5,-0.016019977961841,-0.0160167899301748,-0.0147189343194618,-0.082284285178616,-0.0679922489424882
30,-0.0165070682310892,-0.0164970657247211,-0.015115294929391,-0.0861930039228409,-0.0709774836123377
