"x","growthWDI_br","growthWDI_bp","growthWDI_bc","growthWDI_ser","growthWDI_sep","growthWDI_sec","growthWDI_pr","growthWDI_pp","growthWDI_pc","AgrGDPgrowthCap_br","AgrGDPgrowthCap_bp","AgrGDPgrowthCap_bc","AgrGDPgrowthCap_ser","AgrGDPgrowthCap_sep","AgrGDPgrowthCap_sec","AgrGDPgrowthCap_pr","AgrGDPgrowthCap_pp","AgrGDPgrowthCap_pc","NonAgrGDPgrowthCap_br","NonAgrGDPgrowthCap_bp","NonAgrGDPgrowthCap_bc","NonAgrGDPgrowthCap_ser","NonAgrGDPgrowthCap_sep","NonAgrGDPgrowthCap_sec","NonAgrGDPgrowthCap_pr","NonAgrGDPgrowthCap_pp","NonAgrGDPgrowthCap_pc"
1,0.00826406949962179,0.0238903233512206,-0.0156262538515988,0.00405034112846977,0.0167029091531069,0.0171545578553859,0.0413165598749869,0.152628317414332,0.362342932786894,0.0221524661022194,0.0140599519927664,0.00809251410945299,0.00779293275814296,0.0294176875140089,0.0303935315279013,0.00447422294191202,0.632691400125919,0.790040689519239,0.00507097421250386,0.0263244357699624,-0.0212534615574586,0.00574185013990319,0.0240795233479688,0.0245809064226483,0.377149656667251,0.274293220956053,0.38724028315467
2,0.00763305398160319,0.0223464237337312,-0.014713369752128,0.00375971191090098,0.0159902484570454,0.0164024873975887,0.042333866504758,0.162262298542198,0.36970790318272,0.0204147015122139,0.0127785695530354,0.00763613195917844,0.0072404912856268,0.0281026905996151,0.0289967997211186,0.0048095709159659,0.649318010856983,0.792285482705139,0.00448512821229707,0.0247869410666017,-0.0203018128543046,0.00548879914797845,0.0230165259885533,0.0235290606750278,0.413847293933457,0.281516319788772,0.388225486642919
3,0.00700203846358458,0.0208025241162419,-0.0138004856526573,0.00348290786074954,0.0152799382966098,0.01565666298198,0.0443888553001827,0.173378714797353,0.378077067439136,0.0186769369222084,0.0114971871133045,0.00717974980890389,0.0067089727802365,0.0267908737845755,0.0276092798613331,0.0053713845866815,0.66781722812531,0.794826418565141,0.00389928221209027,0.0232494463632409,-0.0193501641511506,0.00524815007467067,0.0219564244184952,0.022481357156958,0.457492442893489,0.289649710752837,0.38939201980086
4,0.00637102294556597,0.0192586244987526,-0.0128876015531866,0.00322349248447619,0.0145723223978687,0.0149180214480178,0.0481055456208564,0.186304967960428,0.387645668997635,0.0169391723322029,0.0102158046735736,0.00672336765862934,0.0062037574178144,0.025482728195426,0.0262324337399675,0.00632441255961671,0.688500137039284,0.797719347625385,0.00331343621188348,0.0217119516598801,-0.0183985154479967,0.00502168620956715,0.0208996592951991,0.0214384031743899,0.509365868660259,0.298866922818653,0.390780031378934
5,0.00574000742754736,0.0177147248812633,-0.0119747174537159,0.0029860012635599,0.0138678131973181,0.0141876847090956,0.0545672956859592,0.201461565965358,0.398657134508407,0.0152014077421974,0.00893442223384262,0.00626698550835479,0.00573180469456492,0.0241788497112748,0.0248680343100891,0.00799891880075413,0.711744678079455,0.801033577332424,0.00272759021167668,0.0201744569565194,-0.0174468667448427,0.00481141098121147,0.0198467635853476,0.020400927170011,0.570781936866397,0.309386029086915,0.392440603644957
6,0.00510899190952876,0.016170825263774,-0.0110618333542452,0.00277606671605556,0.0131669093857692,0.0134670039791655,0.0657138286801569,0.219393928098885,0.411416929313994,0.0134636431521919,0.00765303979411169,0.00581060335808024,0.00530200458681453,0.0228799678622242,0.0235182479372799,0.0111058788989502,0.738012495299657,0.804855701209824,0.00214174421146989,0.0186369622531586,-0.0164952180416887,0.00461953557563549,0.0187983874765078,0.0193698093899736,0.642914573636719,0.321484045057454,0.394439339502129
7,0.00447797639151015,0.0146269256462847,-0.0101489492547745,0.00260037158796679,0.0124702189138549,0.0127576157738812,0.0850600087549772,0.240816423978706,0.426310591562409,0.0117258785621864,0.00637165735438075,0.00535422120780569,0.00492540443466164,0.0215869846048483,0.0221857419685839,0.0172800806481329,0.767870135985717,0.80929460710576,0.00155589821126309,0.0170994675497978,-0.0155435693385347,0.00444844155864454,0.0177553315758433,0.0183461219305647,0.726516915435137,0.33551690726538,0.396861332018808
8,0.00384696087349154,0.0130830260287953,-0.0092360651553038,0.00246624441135134,0.0117784894547193,0.0120615127402029,0.1187963361441,0.266673456368353,0.443826956166602,0.00998811397218095,0.00509027491464981,0.00489783905753113,0.00461504644351314,0.0203010270237998,0.0208738260129622,0.0304451726848607,0.802015308051963,0.814487992455487,0.0009700522110563,0.0155619728464371,-0.0145919206353808,0.00430060992516923,0.0167185916801122,0.0173311814847632,0.821542454145763,0.351947507334414,0.399818125189082
9,0.00321594535547293,0.011539126411306,-0.00832318105583309,0.00238072125941736,0.0110926491425386,0.0113811328179202,0.176750480236735,0.298223845108359,0.464587419177086,0.00825034938217546,0.00380889247491888,0.00444145690725658,0.00438501848696199,0.0190235199437351,0.0195866378740167,0.0599058847712697,0.841308389976658,0.82061073002962,0.000384206210849505,0.0140244781430763,-0.0136402719322268,0.00417851040658349,0.0156894199035995,0.016326619402187,0.926739252559871,0.371385435317122,0.403457570686739
10,0.00258492983745433,0.00999522679381671,-0.00741029695636238,0.00234911665335401,0.0104138615917946,0.0107194703295066,0.271164947246918,0.337155764484565,0.489381303677949,0.00651258479216997,0.00252751003518794,0.00398507475698203,0.00424838901357091,0.0177562874164581,0.0183293878528971,0.125287197397445,0.886807890392067,0.827885329464098,-0.00020163978935729,0.0124869834397155,-0.0126886232290728,0.00408445134247713,0.0146694092179467,0.0153344754794337,0.960626303388632,0.394643788103386,0.407977931246531
