lag,delta_k,se_delta_k,delta_prime_k,se_delta_prime_k,cumulative_delta,ME_hot,ME_mod,ME_cold
0,0.00729763931000369,0.00363679289326542,-0.00075891474678635,0.000243596799230476,0.00729763931000369,-0.0116752293596551,-0.00408608189179156,0.00350306557607194
1,-0.0027633407103799,0.0042275513978906,0.000273586956762256,0.0002631208720641,0.00453429859962378,0.00407633320867649,0.00134046364105393,-0.00139540592656863
2,-0.00725608097268819,0.00469494665228471,0.000303941766968644,0.000262757457955067,-0.00272178237306441,0.000342463201527921,-0.00269695446815852,-0.00573637213784497
3,-0.00541307968278119,0.00388581273075799,-2.04857159510376e-08,0.00024846240511099,-0.00813486205584559,-0.00541359182567996,-0.00541338696852045,-0.00541318211136094
4,-0.00686153294297596,0.003484197042791,0.000525447917182783,0.000240269193045017,-0.0149963949988216,0.00627466498659361,0.00102018581476578,-0.00423429335706204
5,-0.00411109973886759,0.00486510068697781,0.000258682196091275,0.000287483399957853,-0.0191074947376891,0.00235595516341429,-0.000230866797498463,-0.00281768875841122
