"cutoff","se_temp","se_temp2","t_temp","t_temp2"
200,0.0036196957193666,0.00011320744132938,3.51365112148955,-4.30263473432818
300,0.0036831632007312,0.000114294484957138,3.45310463605807,-4.26171279769864
400,0.00374800137608562,0.000115368422380472,3.39336799739554,-4.22204151879482
500,0.00379592199630256,0.000116079069867174,3.35052931440419,-4.19619376521173
600,0.00383747497709062,0.000116689957698075,3.31424908298576,-4.17422611899915
700,0.00387098291220319,0.000117246669647521,3.28556033758482,-4.1544060118087
800,0.00389449387920111,0.000117731283958839,3.26572548790662,-4.13730533524552
900,0.00391324213535304,0.000118223031800513,3.25007946963036,-4.12009624376844
1000,0.0039249561264821,0.000118619980734541,3.24037964093186,-4.10630878737259
1100,0.00393406784914377,0.000119011338263348,3.23287457448693,-4.09280557933377
1200,0.00394123859997831,0.000119344018070274,3.22699263218252,-4.08139659720016
1300,0.0039457048274432,0.000119695791916537,3.22333993038319,-4.0694017847165
1400,0.00394699564347397,0.000120045726608073,3.22228577698891,-4.05753943110753
1500,0.00394684763542228,0.000120376610765428,3.22240661373861,-4.04638630503877
1600,0.00394600643522886,0.00012066535759851,3.22309355865654,-4.03670348260939
1700,0.00394553094027202,0.000120944299171485,3.22348198920131,-4.02739337517324
1800,0.00394483731300431,0.000121210515991641,3.22404877936964,-4.01854793920523
1900,0.00394498840921331,0.000121514726249584,3.22392529572466,-4.00848756592478
2000,0.00394491710669371,0.000121835361016536,3.22398356665669,-3.99793840789868
