"x","interact","estimate","min90","max90"
0,0,0,0,0
0,1,0,0,0
1,0,0.0149645404651889,0.00865219997267084,0.021276880957707
1,1,0.0111962813442706,0.0052580588278597,0.0171345038606815
2,0,0.028837762841366,0.0165438968935311,0.0411316287892008
2,1,0.0214535297674269,0.00989423574073749,0.0330128237941162
3,0,0.0416196671285312,0.0236683292795508,0.0595710049775117
3,1,0.0307717452694688,0.0139026871181714,0.0476408034207662
4,0,0.0533102533266846,0.0300179778487569,0.0766025288046122
4,1,0.0391509278503963,0.0172768998433063,0.0610249558574863
5,0,0.0639095214358261,0.0355844730513681,0.092234569820284
5,1,0.0465910775102095,0.020009605996413,0.073172549024006
6,0,0.0734174714559557,0.0403584922071658,0.106476450704746
6,1,0.0530921942489083,0.0220926869876636,0.0840917015101529
7,0,0.0818341033870736,0.0443296457648173,0.11933856100933
7,1,0.0586542780664927,0.0235170663074786,0.0937914898255069
8,0,0.0891594172291795,0.0474863525030574,0.130832481955302
8,1,0.0632773289629628,0.0242725902557973,0.102282067670128
9,0,0.0953934129822736,0.0498157039603059,0.140971122004241
9,1,0.0669613469383186,0.0243478963322728,0.109574797544364
10,0,0.100536090646356,0.0513033190577221,0.14976886223499
10,1,0.0697063319925599,0.0237302694790738,0.115682394506046
11,0,0.104587450221426,0.0519331908255256,0.157241709617327
11,1,0.0715122841256869,0.0224054871289942,0.12061908112238
12,0,0.107547491707485,0.0516875284083423,0.163407455006627
12,1,0.0723792033376996,0.0203576550947105,0.124400751580689
13,0,0.109416215104532,0.050546599157106,0.168285831051957
13,1,0.0723070896285979,0.0175690378133486,0.127045141443847
14,0,0.110193620412566,0.0484885776309786,0.171898663194154
14,1,0.0712959429983818,0.0140198883966022,0.128571997600161
15,0,0.109879707631589,0.0454894107004969,0.174270004562682
15,1,0.0693457634470514,0.00968828636085971,0.129003240533243
16,0,0.1084744767616,0.0415227105474647,0.175426242975736
16,1,0.0664565509746066,0.00454999378910034,0.128363108160113
17,0,0.1059779278026,0.0365596899627543,0.175396165642445
17,1,0.0626283055810475,-0.00142165613892882,0.126678267301024
18,0,0.102390060754587,0.0305691565610593,0.174210964948115
18,1,0.057861027266374,-0.00825582112888838,0.123977875661636
19,0,0.0977108756175628,0.0235175838034427,0.171904167431683
19,1,0.0521547160305861,-0.0159841424880921,0.120293574549264
20,0,0.0919403723915266,0.0153692763426702,0.168511468440383
20,1,0.0455093718736839,-0.0246406474185667,0.115659391165934
21,0,0.0850785510764784,0.0060866444311219,0.164070457721835
21,1,0.0379249947956673,-0.0342615405787537,0.110111530170088
22,0,0.0771254116724185,-0.00436940366680041,0.158620227011637
22,1,0.0294015847965363,-0.0448848686777387,0.103688038270811
23,0,0.0680809541793466,-0.0160389513752339,0.152200859733927
23,1,0.019939141876291,-0.0565500499282645,0.0964283336808466
24,0,0.057945178597263,-0.0289624576328772,0.144852814827403
24,1,0.00953766603493139,-0.0692972723937385,0.0883726044636013
25,0,0.0467180849261674,-0.0431800602991363,0.136616230151471
25,1,-0.00180284272754266,-0.083166780770553,0.0795610953154676
26,0,0.0343996731660601,-0.0587308374540505,0.127530183786171
26,1,-0.014082384411131,-0.0981980878700429,0.0700333190477809
27,0,0.0209899433169408,-0.0756520745533111,0.117631961187193
27,1,-0.0273009590158338,-0.114429161849398,0.0598272438177308
28,0,0.00648889537880976,-0.0939785893662697,0.106956380123889
28,1,-0.0414585665416509,-0.131895649519151,0.0489785164358489
29,0,-0.00910347064833317,-0.113742163389879,0.0955352220932128
29,1,-0.0565552069885824,-0.150630196911103,0.0375197829339382
30,0,-0.025787154764488,-0.134971118040917,0.0833968085119412
30,1,-0.0725908803566282,-0.170661919567072,0.0254801588538159
