"spec","n_obs","n_cty","b_temp","se_temp","b_temp2","se_temp2","opt_T","ME_20","ME_15","ME_25","ME_30","dME20_vs_base","dME25_vs_base","delta_optT_vs_base"
"BHM original (UDel, 1960-2013)",6584,166,0.0127183479238592,0.003737444338689,-0.00048709026924976,0.000116820618342991,13.0554321516714,-0.0067652628461312,-0.0018943601536336,-0.0116361655386288,-0.0165070682311264,0,0,0
"Extended CRU (1960-2022)",8038,166,0.0148737467508428,0.0039460569174462,-0.000503502848366072,0.000107484199802517,14.7702707135719,-0.00526636718380008,-0.000231338700139361,-0.0103013956674608,-0.0153364241511215,0.00149889566233112,0.001334769871168,1.7148385619005
"Extended ERA5 (1960-2022)",8038,166,0.0131475165580066,0.00349248632268781,-0.00052301301730718,9.93737387939489e-05,12.5690146544524,-0.0077730041342806,-0.0025428739612088,-0.0130031343073524,-0.0182332644804242,-0.0010077412881494,-0.0013669687687236,-0.486417497219
"Hybrid UDel+CRU (1960-2022)",8038,166,0.0117412973129086,0.00350928808716801,-0.000400609560509421,0.000109351766099768,14.6542899500179,-0.00428308510746824,-0.000276989502374031,-0.00828918071256245,-0.0122952763176567,0.00248217773866296,0.00334698482606635,1.5988577983465
