Date,ABW,AFG,AGO,AIA,ALA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,Z02,Z03,Z08,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HMD,HND,HRV,HTI,HUN,IDN,IMN,IND,Z01,Z04,Z05,Z07,Z09,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,Z06,PAN,PCN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,XAD,XCA,XCL,XKO,XPI,XSP,YEM,ZAF,ZMB,ZNC,ZWE
X190101,33.3,52.73,96.03,92.6,14.55,115.02,73.9,6.67,70.04,20.67,459.4,,,67.52,88.8,29.99,29.64,139.08,35.4,3.89,97.1,0.49,20.63,56.51,14.61,34.74,49.24,,25.93,118.28,252.4,139.24,205.55,77.37,333.18,23.52,,102,10.64,74.1,209,46.98,10.33,25.11,6.57,2.98,8.86,16.61,12.61,137.47,140.67,528.37,52.19,333.44,1.11,28.71,82.4,36.93,285,55.9,92.27,25.01,35.73,10.64,132.34,30.29,70.83,72.35,131.83,29.75,9.96,8.04,65.52,35.18,18.22,38.77,382.92,69.71,36.72,194,274.59,217.48,45.81,71.59,54.8,21.21,181.5,2.89,135.22,0,0.02,95.96,65.16,78.3,28.76,42.17,253.54,129.39,47.57,,68.29,61.76,48.76,32.23,324.09,93.31,35.37,82.26,36.5,19.6,26.1,28.65,,104.02,25.91,39.55,159.19,166.65,30.11,257.74,55.3,85.25,96,24.26,23.92,29.32,3.9,243.66,97.1,72.04,16.61,21.37,180.61,26.14,66.3,108.71,40.86,211.37,92.9,24.61,56.17,24.77,92.6,100.85,16.8,43.08,295.53,103.01,13.3,184.28,56.13,0.58,115.76,3.86,91.08,2,108.2,229.16,0.53,110.3,127.84,306.93,227.12,191.15,297.6,40.08,56.14,0.04,84,8.03,33.57,278.42,37.19,66.51,53.62,262,103.64,1.88,35.47,64.44,66.78,132,62.34,78.87,284.49,341.41,23.67,158.2,36.9,114.11,124.44,165.58,492.23,13.6,244.72,53.3,31.99,99.54,12.84,0.08,0.03,118.2,,40.49,29.48,339.84,7.13,6.72,13.28,3.16,127.45,39.51,14.3,216.95,75.17,30.86,42.67,24.49,179.13,92.6,270.33,92.57,56.01,0.03,7.09,16.45,55.23,349.74,13,209.84,180.81,87.82,75.48,74.07,353.64,59.62,126.57,50.42,32.38,,67.57,61.57,35.14,15.6,126.2,16.91,105.4,103.63,20.84,325.21,315.2,481.97,83.53,35.14,,56.26,,,6.78,107.38,235.72,85.67,199.1
X190102,16.7,37.3,111.84,27.2,20.49,150.61,63.39,24.79,67.43,19.51,345.3,,,36.5,50.9,35.45,11.31,137.49,30.27,12.25,35.3,1.41,15.65,74.12,9.1,26.88,66.94,,32.17,66.2,116.8,134.86,194.43,52.77,173.7,3.89,,75.95,22.72,63.67,177,34.98,20.47,14.57,6.37,2.69,4.69,54.96,38.82,126.64,131.63,170.37,72.28,283.03,0.05,55.78,23.27,42.91,235,43.8,3.92,23.86,28.49,27.61,87.83,20.46,46.76,72.46,170.19,1.4,3.49,10.34,66.35,43.08,35.4,38.59,394.57,49.82,33.06,28.96,252.85,175.41,38.35,55.07,37.07,98.51,134.4,8.72,94.4,0.15,0.52,149.43,78.81,57.3,58.13,32.86,260.69,111.19,55.37,,44.22,53.95,43.88,20.83,332.87,55.2,21.46,48.99,22.27,14.07,18.36,24.57,,41.9,14.18,35.42,28.65,3.52,71.12,4.8,36.7,1.99,47.02,9.35,112.79,5.37,7.77,190.63,35.3,12.93,7.06,18.83,5.99,47.98,17.67,81.52,19.94,117.05,138.39,37.55,38.04,38.59,27.2,91.88,52.3,53.83,252.6,75.02,30.81,136.29,72.39,0.55,93.58,6.74,137.9,2.52,74,246.67,0.53,63.2,96.91,322.99,231.3,104.65,247.21,85.08,103.83,0.21,69,14,21.05,224.64,30.43,51.66,27.77,224,98.62,15.25,22.25,45,36.45,149,72.08,104.99,210.75,362.74,20.44,25.07,7.24,116.78,119.67,2.62,527.17,15.44,222.13,50.75,33.75,114.74,6.9,0.12,0.1,149.33,,43.96,34.53,336.6,15.39,4.49,54.14,6.53,96.33,50.11,4.97,145.77,109.4,23.47,79,22.04,176.13,27.2,396.19,12.1,44.25,0.19,44.92,18.24,15.58,271.85,3.91,267,193.83,61.27,39.18,56.16,302.16,117.87,154.73,87.36,42.31,,65.96,59.79,7.75,85.5,93.9,34.49,18,16.44,12.58,281.07,301,361.09,3.57,8.42,,77.15,,,20.39,90.98,211.02,3.84,217.02
X190103,9,64.52,126.4,59.1,20.23,130.46,107.85,35.93,57.47,33.55,539.7,,,40.52,134.51,76.68,16.56,152.05,66.84,80.5,41.5,6.64,62.63,37.75,21.07,38.12,104.42,,47.55,51.5,225.4,92.05,210.74,47.53,174.31,82.42,,84.43,73.89,76.77,243,87.58,19.91,39.4,5.97,2.92,6.44,102.08,130.11,167.71,172.7,134.69,96.47,256.61,0.03,122.94,44.23,18.61,303,31.7,18.67,56.42,52.31,19.21,93.43,56.35,73.79,58.05,306.44,0.76,5.2,3.1,89.81,18.03,89.05,18.67,669.67,51.2,79.06,102.99,269.68,360.56,59.93,65.66,69.46,79.19,219.5,23.64,112.66,0.02,0.16,330.62,55.25,58.9,54.59,38.99,462.35,89.37,168.97,,34.17,117.22,62.98,55.78,341.21,87.45,17.72,54.65,22.73,21.79,76.66,22.82,,77.44,35.22,41.73,51.36,13.59,123.14,63.18,81.8,12.94,92.7,34.17,95.28,44.84,21.98,185.6,41.5,44.46,18.92,41.36,28.53,98.86,10.63,68.42,68.05,120.45,171.55,42.28,69.22,27.06,59.1,106.74,188.1,45.89,228.81,88.61,8.26,168.52,67.51,3.25,15.55,8,165.47,4.99,82.3,153.75,0.23,73.3,77.27,267.09,176.77,128.08,187.7,84.26,419.97,1.85,94,69,21.05,323.39,59.97,71.45,29.47,214,124.65,41.26,27.89,49.43,47.65,117,85.59,97.06,188.69,352.94,48.02,127.49,26.37,186.08,98.87,14.28,213.27,16.88,214.89,46.36,30.5,131.34,23.11,0.64,0.01,107.42,,104.71,36.38,362.73,38.71,13.15,134.78,14.07,79.12,62.38,48.25,272.7,297.03,71.57,188.62,36.9,89.04,59.1,327.26,21.79,38.01,3.24,74.92,35.48,49.78,249.04,19.49,292.41,267.27,50.67,26.93,48.03,303.14,55.95,121.09,98.66,34.09,,50,81.99,32.53,104.9,101.7,22.96,89.6,79.12,38.07,374.59,303.3,561.96,15.72,12.56,,85.18,,,28.33,110.36,156.46,17.25,133.04
X190104,16.9,40.64,185.36,49.5,32.17,37.55,85.07,6.57,41.22,40.2,156.4,,,56.72,114.83,86.66,27.01,186.2,61.67,68.18,55.4,34,71.95,51.9,8.06,46.37,55.49,,57.27,55.98,215.8,35.2,156.03,56.74,205.96,89.45,,35.48,109.13,79.69,254,165.61,36.19,97.28,19.5,4.42,2.46,134.2,166.15,159.68,195.28,281.81,118.14,258.58,4.76,3.91,40.35,31.02,283,48,5.92,60.08,70.75,25.59,94.61,56.6,108.06,32.04,163.33,0.1,10.97,1.63,55.02,40.67,101.07,38.26,184.87,51.41,73.44,79.51,322.9,299.02,63.78,46.11,82.74,109.47,80,57.84,143.44,0.32,0.82,306.47,15.04,58.2,34.18,66.64,428.97,101.54,134.54,,48.05,60.42,118.87,41.93,196.43,79.55,23.36,41.67,4.97,2.39,110.1,4.68,,74.4,33.62,35.42,65.16,6.29,51.61,15.21,92.1,5.91,140.07,30.85,236.69,43.73,82.73,178.59,55.4,91.15,16.75,96.74,14.61,143.63,3.66,90.54,142.94,235.9,64.62,66.04,78.17,53.94,49.5,50.55,59.4,61.18,81.5,133.31,16.87,224.44,39.29,14.1,11.1,28.55,67.15,10.52,101.9,103.83,0.76,90.9,105.4,235.01,148.61,240.24,122.51,28.52,49.6,5.12,70.3,102.54,20.92,247.39,63.8,50.19,15.38,202,53.81,3.28,14.73,42.05,83.59,139,43.3,76.35,209.98,269.63,54.48,106.84,42.25,63.12,130.59,6.6,146.15,9.12,166.95,61.88,37.34,176.88,20.96,3.17,0.32,158.56,,132.82,23.22,256.08,94.39,50.1,35.61,71.14,80.78,45.63,63.06,283.17,294.62,60.55,99.07,37.52,70.34,49.5,244.29,15.92,46.35,18.49,93.41,83.36,58.9,170.88,19.74,42.37,163.4,70.18,29.06,37.86,241.87,152.43,217.42,177,44.07,,55.5,89.1,35.87,31.1,107.1,81.3,68,60.15,95.27,241.24,298.4,162.22,6.22,15.14,,54.46,,,39.09,52.22,53.72,6.31,35.67
X190105,20.1,89.2,27.97,88.3,8.45,105.84,66.58,1.59,70.35,116.69,221.2,,,91.15,57.7,63.1,61.47,88.69,27.26,155.04,84,71.54,249.31,36.54,0.91,196.71,62.1,,34.47,129.8,65.5,23,95.86,74.76,257.17,286.44,,2.07,150.53,82.72,192,40.63,128.44,106.35,24.48,7.72,7.2,180.94,191.18,93.58,131.26,194.87,180.33,195.07,0.96,189.22,225.16,19.75,205,132.2,69.79,50.61,35.56,0.11,145.67,48.04,224.02,57.28,136.79,7.79,5.4,0.16,49.71,5.78,80.78,10.45,169.89,53.48,35.44,26.7,388.09,232.41,32.08,151.56,25.93,149.91,31.7,156.37,196.88,16.55,67.61,294.24,38.52,76.1,33.27,182.39,481.97,141.35,310.6,,153.42,53.83,216.6,40.72,134.66,48.53,55.69,88.5,24.52,21.43,195.86,27.08,,51.74,32.9,14.75,96,20.3,75.95,81.82,31.5,17.84,93.98,43.59,106.81,104.62,177.77,146.45,84,78.66,2.38,193.96,69.48,239.33,13.43,120.49,49.49,111.66,7.22,31.14,42.93,15.95,88.3,17.66,51.2,25.43,46.53,211.46,37.87,243.48,79.14,52.79,20.32,285.66,85.94,17.84,94.5,32.54,4.34,137.4,144.67,156.37,27.91,175.03,67.8,2.44,73.94,22.8,111.8,157.81,150.38,196.26,26.01,52.88,167.06,183,52.24,1.38,43.43,102.17,254.83,117,26.61,149.99,279.07,287.83,37.98,221.95,70.2,49.05,128.5,17.47,79.66,3,103.64,33.29,47.33,117.88,10.7,12.08,11.01,115.63,,52.06,19.48,208.15,226.95,173.88,55.8,75.16,81.34,45.8,116.24,214.66,317.68,49.43,89.79,22.97,19.57,88.3,102.04,51.5,57.07,48.65,141.69,191.35,91.94,172.35,18.99,48.87,105.31,125.42,43.89,65.6,224.03,177.37,116.65,134.96,39.96,,139.5,88.59,47.99,52.9,145.4,113.34,133.3,122.32,154.39,193.82,256.89,228.35,63.2,23.54,,71.12,,,36.88,31.35,6.42,71.61,6.45
X190106,19.9,17.62,0.76,89.1,37.8,131.74,73.89,0.08,36.54,78.69,62.3,,,69.6,90.97,115.1,39.37,13.62,57.7,183.73,92.5,127.86,333.68,102.11,0,335.86,114.07,,104.73,261.03,35.2,19.11,63.17,118.86,219.47,531.58,,1.68,165.75,80.64,201,162.12,222.1,137.4,25.93,12.82,10.54,256.93,249.87,46.44,21.54,135.18,114.41,152.32,3.59,339.39,288.11,21.27,136,183.6,0.31,67.15,75.55,3.82,174.96,83.87,159.44,6.35,109.79,0.03,28.58,0.05,30.73,60.04,173.67,49.91,18.19,47.69,47.2,69.91,348.68,65.67,50.95,125.73,34.96,135.18,8.8,256.87,191.77,199.6,202.51,286.09,60.52,154.6,37.04,331.23,348.01,161.19,312.87,,252.08,105.18,187.72,67.76,208.94,65.39,120.06,43.06,18.03,10.74,305.1,19.9,,69.22,6.72,1.01,53.64,0,72.26,605.72,31.3,0.01,248.25,42.1,36.39,101.63,210.03,138.59,92.5,99.37,0,286.74,0.2,382.43,0.28,171.48,148.79,82.21,5.75,124.59,57.64,82.71,89.1,6.8,40.2,114.53,61.41,184.44,96.92,257.55,118.96,92.89,1.54,440.38,114.03,45.2,127.4,52.9,16.71,137.5,184.26,130.95,31.55,178.65,24.5,0.08,51.6,56.19,206.9,215.19,268.7,120.39,61.07,82.86,209.49,164,95.12,1.1,18.77,50.79,255.98,168,18.84,201.26,342.44,180.75,89.35,238.84,46.17,11.82,69.6,0,82.46,0,81.02,127.84,43.7,30.1,1.07,51.53,101.42,192.74,,43.12,22.95,168.38,345.64,311.79,77.88,25.86,97.25,110.41,131.87,90.47,250.53,90.47,184.6,78.94,34.13,89.1,119.8,3.91,51.93,83.18,147.08,188.03,53.34,201.94,2.44,66.75,73.19,249.21,1.36,52.5,195.05,198.29,22.55,65.73,67.43,,62.2,74.21,28.11,40.3,227.8,120.94,112.1,105.67,187.94,166.27,168.4,61.85,0.24,10.41,,111.29,,,33.14,20.6,1.25,0.32,7.01
X190107,25.8,4.3,0.52,125.6,7.26,27.34,194.15,0.22,14.82,16.59,12.1,,,78.97,69.7,113.51,14.74,4.93,44.83,191.76,113,148.96,471.6,77.02,0,160.95,98.94,,59.71,273.07,97,13.25,81.07,149.31,222.74,648.62,,0.18,203.17,85.11,191,128.35,134.69,222.32,26.25,20.26,34.66,140.19,297.36,43.95,14.57,41.46,196.14,168.72,3.17,550.1,266.52,37.81,114,176.2,8.3,93.92,75.72,7.22,118.47,43.25,162.05,8.64,93.22,0.05,21.83,0.84,34.31,24.63,203.26,33,22.8,44.55,70.13,104.46,409.37,12.24,66.82,110.31,41.15,89.53,0.9,476.08,235.14,421.42,592.85,172.81,8.75,202.7,73.98,281.36,207.03,273.23,203.1,,220.68,66.45,138.62,74.39,171.08,47.99,263.17,180.66,96.76,61.89,303.33,101.73,,36.54,6.74,0.14,92.04,0.01,66.46,396.62,54,0.01,280.24,23.8,47.7,18.99,217.65,166.17,113,198.87,0,287.53,0.47,390.83,0.06,220.7,122.31,66.64,12.58,44.1,46.4,29.25,125.6,2.18,93.5,70.26,53.67,162.63,163.19,284.15,49.98,172.2,0.07,429.65,79.88,86.24,228.9,15.33,61.55,167.1,232.94,135.69,5.44,162.75,37.6,0.15,80.08,127.41,118.3,317.96,272.05,87.26,57.93,31.21,325.53,210,209.64,1.43,95.05,136.86,269.03,157,16.43,249.97,383.7,210.45,68.83,315.7,118.57,5.71,56.16,0,170.63,0,78.54,84.72,55.96,15.95,1.99,74.57,256.22,183.05,,31.88,29.22,222.99,546.14,293.19,64.67,27.11,101.78,85.79,124.63,26.05,180.11,108.3,95.81,20.38,12.93,125.6,96.16,1.76,34.2,162.53,107.88,194.69,2.76,166.72,0.71,51.62,86.32,254.64,8.31,15.65,227.73,192.43,21.28,76.9,61.96,,32.87,83.1,2.35,11.8,297.9,148.55,157.9,149.42,219.36,162.29,184.29,9.47,4.87,12.43,,79.64,,,34.83,19.81,0.32,5.5,0.23
X190108,22.6,2.44,2.37,97.4,24.22,42.03,53.67,0.45,42.58,19.83,54.7,,,123.49,90.24,94.64,7.46,17.79,54.75,173.63,113.6,247.72,445.46,87.65,0,194.06,78.05,,66.22,230.45,111,13.83,70,167.91,220.53,598.46,,2.65,240.05,64.66,125,144.78,202.3,130.1,8.27,14.54,39.02,119.32,233.39,69.61,23.3,167.82,262.22,117.66,29.44,416.62,183.14,33.09,108,170.8,0,67.65,79.49,175.59,239.64,56.63,145.6,8.46,61.25,0.06,110.99,0.97,18.26,61.94,226.09,55.53,88.58,41.76,47.9,148.2,388.93,10.34,63.23,65.38,35.85,96.83,4.4,539.62,250.9,426.06,660.82,110.65,20.71,195.3,63.07,256.57,156.36,364.17,236,,201.34,92.93,157.14,58.28,67.52,118.27,280.99,87.89,99.55,104.61,323.37,132.81,,96.21,9.08,0.12,77.15,0,48.58,126.92,36.4,0.01,114.51,22.44,22.12,10.57,250.54,124.1,113.6,98.29,0,361.35,0,420.84,0.22,208.76,150.76,12.53,36,73.03,84.3,73.83,97.4,2.12,44.7,61.13,52.7,184.06,182.34,268.74,47.03,229.82,2.95,412.99,62.04,85.65,282.8,19.7,103.05,176.7,251.37,127.39,2.47,151.31,27.7,0.18,33.36,163.68,111.7,263.26,219.4,125.13,65.8,134.01,452.16,171,92.92,1.73,46.51,58.65,270.13,127,17.74,311.25,339.25,186.95,78.25,175.39,114.07,4.87,105.32,0,196.86,0,72.89,106.83,52.02,37.98,2.66,90.02,276.95,130.75,,79.69,35.83,204.94,613.94,291.01,55.23,46.75,108.56,58.92,148.64,47.3,191.92,78.95,150.2,48.37,61.26,97.4,34.83,0.14,50.37,212.29,148.18,228.35,1.81,181.6,0.14,11.79,107.67,245.89,13.78,18.01,223.43,521.75,9.17,38.86,62.5,,76.71,104.95,1.72,22.7,278.4,144.31,112.7,107.02,222.15,153.27,142.3,54.48,0,16.87,,56.82,,,111.96,23.6,0.45,0,1.58
X190109,41.9,7.59,13.44,163.3,30.03,81.87,176.82,0.17,48.51,46.53,214.5,,,139.84,50.56,113.44,56.49,54.77,74.32,275.59,157.5,148.93,276.33,27.03,0,238.26,154.97,,39.16,283.46,121,26.42,65.14,172.82,267.78,302.53,,15.17,226.2,74.86,105,154.26,37.28,71.18,8.47,4.64,6.7,168.71,258.1,104.05,56.77,89.69,156.05,63.59,30.32,475.98,219.19,25.47,142,208.1,4.92,59.57,70.95,32.1,248.43,25.05,169.63,34.73,92.99,0.04,10.17,6.58,69.74,32.81,125.96,19.64,95.27,36.09,102.49,113.1,341.47,75.94,46.73,116.64,63.12,212.67,54.5,390.77,269.23,223.64,250.07,250.29,15.12,185.7,53.17,333.56,79.05,343.73,160.34,,270.35,186.54,194.76,55.83,68.04,76.31,136.86,54.5,19.83,16.5,255.8,22.72,,135.95,50.71,0.57,97.06,0.15,150.26,363.06,75.2,0.01,127.5,22.38,45.5,18.37,276,112.68,157.5,49.5,0,259.53,1.25,472.33,1.82,215.82,115.22,209.37,68.53,33.23,118.67,39.4,163.3,32.49,175,28.31,38.59,213.37,183.06,287.02,41.52,138.83,11.89,315.63,180.67,30.05,325.3,49.52,66.85,208.1,246.83,86.53,19.3,171.18,21.6,1.71,49.62,70.37,85,291.52,269.9,137.39,73.98,53.6,183.97,163,63.82,0.58,28.53,53.26,273.62,120,26.53,196.5,292.1,229.39,40.03,275.2,55.26,106.24,143.47,0.04,138.79,0,51.36,27.93,41.21,87.18,0.84,41.09,169.88,151.57,,112.79,34.78,198.2,462.05,345.87,153.32,21.59,76,64.5,99.69,144.43,97.52,76.87,265.85,25.44,160.64,163.3,299.34,5.81,82.26,117.1,268.17,271.33,9.04,159.84,5.9,30.22,118.45,197.22,29.41,25.37,191.89,52.84,23.05,68.58,34.15,,81.42,77.85,9.49,125.7,267.9,92.7,182.7,178.94,227.83,161.83,179.2,222.67,3.74,119.47,,76.92,,,49.59,77.45,2.95,5.68,12.17
X190110,72.2,11.12,51.31,123.6,70.33,167.13,136.32,0.46,65.12,96.24,166.1,,,134.21,72.11,52.95,108.28,91.22,85.18,175.94,122,44.32,190.95,106.83,0.49,182.44,134.04,,30.71,240.18,128,69.08,77.2,185.99,297.58,163.51,,37.27,185.93,55.74,99,85.5,36.53,56.12,1.17,0.86,0.94,142.71,184.63,148.53,138.99,50.22,280.19,93.19,18.92,628.77,136.85,79.15,230,233.9,6.45,47.6,59.82,0.05,252.65,40.99,192.71,112.06,81.97,0.08,3.77,9.88,93.37,35.63,68.11,52.85,85,36.91,88.46,227.42,428.64,249.76,69.32,89.6,64.57,184.41,81.7,223.96,269.94,63.89,180.61,376.05,89.64,206.9,27.58,251.35,83.14,317.67,90.94,,226.1,115.67,197.78,48.04,137.16,152.02,60.29,6.95,0.82,0.84,127.69,0.85,,101.8,35.82,12.73,95.08,5,168.77,290.91,73.5,2.34,208.31,47.56,41.18,106.08,245.6,109.76,122,72.97,0.76,136.94,10.32,286.95,24.19,256.91,78.83,144.12,114.03,29.99,100.36,29.8,123.6,43.93,208.7,48.19,61.94,234.84,62.48,302.32,104.27,42.66,127.88,245.53,209.1,14.19,284.6,56.78,11.66,167.5,268.54,81.35,46.94,224.64,49,10.69,84.11,10.03,88.2,164.95,290.12,121.77,82.03,166.58,21.22,172,93.72,0.38,4.09,8.9,380.48,150,43.01,418.92,318.32,224.71,42.31,261.17,55.23,92.15,140.22,3.78,94.92,0.67,57.2,74.39,24.84,114.86,4,17.76,37.11,214.19,,47.1,29.35,208.03,318.37,219.68,159.05,45.81,95.74,90.43,83.07,340.75,82.9,58.03,112.11,55.51,175.13,123.6,123.37,10.08,99.84,30.67,178.45,178.17,79.89,196.28,19.67,22.42,99.5,220.38,104.87,53.94,220.91,127.4,37.09,81.14,32.42,,75.61,42.19,67.13,141.7,308.6,106.35,201.1,186.35,198.41,145.68,302.59,182.75,6.18,93.96,,126,,,15.86,89.53,26.37,7.43,21.36
