Temperatures are degrees C above pre-industrial. Damages are percent of global output.

DICE 2010
T	damages
0.00	0.00
0.83	0.21
0.98	0.28
1.39	0.51
1.78	0.79
2.14	1.13
2.49	1.51
2.81	1.91
3.11	2.36
3.38	2.82
3.64	3.29
3.88	3.77
4.11	4.28
4.33	4.81
4.55	5.36
4.76	5.93
4.96	6.52
5.15	7.13
5.34	7.75
5.52	8.39
5.70	9.05
5.87	9.73
6.04	10.43
6.20	11.15
6.36	11.89
6.51	12.66
6.67	13.45
6.82	14.27
6.97	15.11
7.12	15.98
7.26	16.87
7.41	17.79
7.55	18.75
7.69	19.73
7.83	20.74
7.97	21.78
8.10	22.85
8.24	23.96
8.38	25.10
8.51	26.27
8.64	27.48
8.78	28.72
8.91	29.99
9.04	31.30
9.17	32.65
9.30	34.03
9.44	35.45
9.56	36.91
9.70	38.40
9.82	39.93
9.96	41.51
10.09	43.12
10.21	44.77
10.34	46.46
10.47	48.19
10.60	49.96
10.73	51.78
10.86	53.64
10.99	55.53
11.12	57.48
11.25	59.46

FUND 3.8
T	best	5th	95th
0.00	0.00	0.00	0.00
0.90	-0.17	-1.11	0.69
1.30	-0.21	-0.95	0.55
1.70	-0.14	-1.11	0.81
2.10	-0.02	-1.21	1.31
2.50	0.14	-1.30	2.02
2.90	0.34	-1.42	2.87
3.30	0.57	-1.52	3.89
3.70	0.83	-1.37	4.95
4.10	1.12	-1.04	6.07
4.50	1.42	-0.67	7.18
4.90	1.72	-0.71	8.13
5.30	2.03	-0.23	9.35
5.70	2.34	-0.20	10.40
6.10	2.63	-0.07	11.22
6.50	2.91	0.27	11.95
6.90	3.15	0.34	12.59
7.30	3.32	0.62	13.38
7.70	3.40	0.77	14.16
8.10	3.40	0.97	15.06
8.50	3.21	0.46	16.54
8.90	NaN	1.44	17.78
9.30	NaN	1.79	19.20
9.70	NaN	1.74	20.83

PAGE 2009
T	mean estimate	5th	95th
0.50	0.16	0.01	0.34
1.00	0.11	-0.02	0.29
1.50	0.16	0.01	0.35
2.00	0.35	0.13	0.63
2.50	0.64	0.31	1.06
3.00	1.09	0.56	1.80
3.50	1.83	0.86	4.48
4.00	2.75	1.21	6.45
4.50	3.94	1.63	8.66
5.00	5.25	2.20	10.36
5.50	6.74	2.83	12.20
6.00	8.34	3.64	14.39
6.50	10.00	4.49	16.71
7.00	11.90	5.86	19.38
7.50	13.62	6.68	21.41
8.00	15.59	8.38	25.39
8.50	17.41	9.65	28.01
9.00	19.85	10.81	32.19
9.50	21.94	11.57	35.77
10.00	23.73	12.36	37.88
10.50	25.80	14.44	46.55
11.00	29.34	16.08	46.38
11.50	26.68	16.87	37.08
12.00	31.72	15.58	47.99
12.50	26.15	18.99	39.23
13.00	37.09	26.94	52.37

CRED
T	mean	low	high
0.00	0.00	0.00	0.00
0.50	0.12	0.07	0.17
1.00	0.47	0.28	0.67
1.50	1.06	0.63	1.49
2.00	1.88	1.12	2.65
2.50	2.96	1.74	4.18
3.00	4.39	2.49	6.23
3.50	6.33	3.36	9.07
4.00	9.06	4.34	13.19
4.50	12.93	5.43	19.20
5.00	18.19	6.62	27.57
5.50	24.73	7.91	38.21
6.00	31.97	9.27	50.16
6.50	39.08	10.71	61.91
7.00	45.33	12.21	72.11

ENVISAGE
T	damages
0.80	0.00
1.40	0.14
1.90	0.61
2.30	0.90
2.70	1.29
3.20	1.83
3.60	2.06
4.10	2.42
4.60	2.97
5.10	3.69
5.60	4.58

GECON
T	damages
3.00	1.00

ICES
T	damages
1.92	0.50
