"run","temp","L1temp","L2temp","L3temp","L4temp","L5temp","temp2","L1temp2","L2temp2","L3temp2","L4temp2","L5temp2","tlin","tsq"
0,0.00934047966336743,-0.00467446928626374,-0.006950332728296,-0.00103353102537254,-0.00201238857679746,0.00162139761841936,-0.000459556060004148,0.000227089612704339,0.000147548615157262,-9.0233129962541e-05,0.000144738625690605,-6.62387981479252e-05,-0.00370884433494296,-9.66511345624078e-05
1,0.0094842672795934,-0.00688631213584096,-0.00669500024509189,-0.00415718405601362,-0.000799700860409146,0.00681828455512139,-0.000475429515190153,0.000197921280883273,0.000135044306006317,-5.41356376173151e-05,2.83495387326959e-06,-0.000197609973353041,-0.00223564546264083,-0.00039137458539765
2,0.0118912763357543,-0.00674456152401704,-0.0106468514636211,-6.52406724511237e-05,-0.00168468044965524,0.00793877544465466,-0.000515880254307626,0.000238812352447216,0.000263199423929336,-0.000163949868158472,0.000120952733215478,-0.000161568129852211,0.000688717670664536,-0.000218433742726278
3,0.00877475459414289,-0.0051615935454396,-0.0101337821203447,-0.00621334153044483,-0.000915208791465024,0.00548399568261075,-0.000415608515994148,0.000265308123887206,0.000246466930688255,9.6950837876835e-05,0.000101990546610829,-0.000173564391705054,-0.00816517571094056,0.000121543531363923
4,0.00950156800428447,-0.00132509969989242,-0.00560114994922496,0.00128197793493822,-0.000485391685181198,-0.005149828665506,-0.000452732684687459,9.08049109019344e-05,0.000175365252384832,-0.000132856358002679,0.000173714634475835,0.000167885413159885,-0.00177792406058188,2.21811682323476e-05
5,0.0079458227407955,-0.00959090439612026,-0.0125518237375535,-0.0019310933440121,-0.00416152469374054,0.01349055925177,-0.000507980916082119,0.000407875151646681,0.000350733629290025,-0.000115937268049119,0.000275481416984244,-0.000388951996740104,-0.00679896417886091,2.12200170496081e-05
6,0.0118810306218992,-0.00610075724221793,-0.0134581025801129,-0.00793563624689285,-0.00178256524454976,0.00950716035313018,-0.000508723895952595,0.000228624556047926,0.000371233650436899,0.000102243191747259,0.000187071483275564,-0.000232756041301685,-0.00788887033874404,0.000147692944253368
7,0.0102394641055016,-0.00643895269872768,-0.00426999482103866,-0.00423538237016662,-0.0026433605824981,0.00715348261002392,-0.000486365560198914,0.000217712970833835,0.000122699018225597,-7.08892239707456e-05,0.000219513882575394,-0.000233434532819724,-0.000194743756905524,-0.000230763445354558
8,0.00931104529148057,-0.00532054362021794,-0.00538359819238231,-0.00452653599808583,-0.00161965682089871,0.00804672715667024,-0.000389740496489326,0.000255950609284753,0.000108934249301484,-2.17766761428903e-05,0.000159352338978333,-0.000234005636865554,0.000507437816566029,-0.0001212856119332
9,0.00685298824421862,-0.0041486840597865,-0.0117260444646215,-0.00334391239480442,-0.00306278733185304,0.00507768611977883,-0.000343291936818916,0.000165377779111115,0.000293292694846927,-1.8792059528665e-05,0.000290885083854181,-0.000192928506604347,-0.010350753887068,0.000194543054860295
10,0.0228223113536835,-0.00642586332637506,-0.0048467394497059,-0.00383859788918948,-0.00663995852821939,0.00423466198251296,-0.000782166517748512,0.000227168615966694,0.000234228845666422,-7.31677753849992e-05,0.000301959793327808,-0.000122220823063767,0.00530581414270661,-0.000214197861236354
11,0.0130610388978216,-0.00309924581723644,-0.0055197013816998,-0.00102093457020151,0.000247850648550851,0.000364835177443483,-0.000477284519130983,0.000191982081364355,9.06703539414522e-05,-1.25173895674812e-05,0.000114111641831981,-1.93760653842014e-05,0.00403384295467816,-0.000112413896944877
12,0.00444482906741053,-0.0103626758914424,-0.0108129934029902,-0.00127003893450878,-0.00660113879808746,0.0054255339560402,-0.000379338304408531,0.000284620463236388,0.000221109354976429,-8.87681560791482e-05,0.000287176163188421,-9.90004777424917e-05,-0.0191764840035781,0.000225799043171067
