"run","temp","temppoor","L1temp","L1temppoor","L2temp","L2temppoor","L3temp","L3temppoor","L4temp","L4temppoor","L5temp","L5temppoor","temp2","temp2poor","L1temp2","L1temp2poor","L2temp2","L2temp2poor","L3temp2","L3temp2poor","L4temp2","L4temp2poor","L5temp2","L5temp2poor","tlin","tlinpoor","tsq","tsqpoor"
0,0.00987841568483265,-0.000585924370365139,-0.00897693977274083,-0.0018487385442893,-0.00590685576501377,-0.0235957281585923,-0.00344581727960596,0.00350141936436208,0.000216063031654524,-0.00121362539362536,0.00555813369950078,0.00529563770917688,-0.000439914620082353,-0.00023483701903211,0.000358105745254138,0.00017585339339879,0.000178773221970451,0.000440334264578383,1.20205016961439e-05,-0.000221779947942402,7.30634136403061e-06,0.000173834626104595,-0.000138980045949173,-0.000185643836515686,-0.0026770004013726,-0.0184469593933331,-2.26888557467623e-05,0.00014776148059157
1,0.0300329801791121,-0.0117629605903197,-0.000987487626663226,-0.00646220380695978,-0.0105659798118281,-0.0348504591799896,0.00267500446125602,0.0013742752090324,-0.00265189180373704,-0.00498228000083934,-0.00536019317805761,-0.00059944010933008,-0.00103063181841757,7.89509813128421e-05,5.14343132860429e-06,0.000245800659711688,0.000547140986577415,0.000585589987300586,-0.000306529877372843,-0.00020931391657494,0.000225937186279086,0.000318078272215071,0.000179891737037211,-0.000106254338355793,0.0131424322200822,-0.0572830684784061,-0.000379048354568095,0.000912851645609454
2,0.0172016123020519,-0.0028581176146774,-0.00577602336173925,-0.0141050205571498,-0.00260422174212818,0.00747635093260106,0.00199380790715658,-0.00985417466676247,0.00321111673150344,0.0183733807869783,-0.00150229203195762,0.00310380164866869,-0.00104912116260267,-0.000100683115189365,0.000186604900051383,0.000441231290323735,4.43243731169392e-05,-0.000306344840889214,-0.000260824509828988,5.39929813739955e-05,-7.43227215818089e-05,-0.000247642834864163,0.000159199132495297,-0.000131644269203214,0.0125239998048869,0.00213622052965835,-0.00099413998834985,-0.000291090788448225
3,0.00723822726105131,0.011523582331322,-0.0104275347518982,-0.00348516057348695,-0.00867680918460367,-0.0052263465727179,-0.000846192402155832,-0.00462331230590072,-0.00538332646354943,0.0178068402673553,0.00355497742810215,0.00949883312044782,-0.000299444894064849,-0.000487013978836189,0.000329662059719026,0.000150252656529123,0.000261716673138418,7.1904714640506e-05,-0.000110741725416633,-2.57752838664807e-05,0.000180197937655536,-0.00023854135269149,-0.000111492302045507,-0.000352922578104993,-0.0145406581130537,0.0254944362670196,0.000249897748985991,-0.000882095822329524
4,0.0150317626088842,-0.00418392634337776,-0.00902611381235922,-0.00860648991764481,-0.00514568121496468,-0.0354468539627445,0.00238927653758007,-0.00873742958452155,-0.00069994898282048,-0.0225023405250165,0.00564510400790927,0.00299447063830303,-0.000538504772084988,-0.000144547236504807,0.000338979035168926,0.000251220750239534,0.000171475703004441,0.000720035526568472,-0.000257603554352249,-8.54022971312373e-05,0.000174327274515234,0.000757797340611197,-9.82477347978934e-05,-0.00025461332394893,0.0081943991442292,-0.0764825696950021,-0.00020957404854653,0.00124449075983423
5,0.00617310513585131,0.0122499140326449,-0.00730862565611323,-0.00772397641992994,-0.00407040452880634,-0.00543509146064065,-0.00885774311860004,-0.00441275808263882,0.00188675758689885,0.00405523843502835,0.00756403767176867,0.00368027417795458,-0.000309350957323453,-0.000546543743940887,0.000220856260005387,0.000176351057154543,1.52201486350267e-05,6.23576709716951e-05,0.000359311777158512,-0.000172676438177207,-0.000204668325973372,-2.00781059029735e-05,-0.00016575507324427,-0.000130514702816823,-0.00461287290900078,0.00241360068241841,-8.43861707421693e-05,-0.000631104262711653
6,0.014869233991353,-0.0134393468428718,-0.00415655201704517,0.00189218374326995,0.00156976680898178,-0.0513317509904241,0.00440874135603761,0.00464684236493188,0.00112834297240065,-0.0157762006729196,0.00338175082432166,0.0111524137688094,-0.000603678736506111,-3.51337080221651e-05,0.000261349733527657,6.35942167412552e-05,-4.22722826624986e-05,0.00103531162902289,-0.00035742713514823,-0.000301218857191175,2.4085447655531e-05,0.000579944361516772,-0.000112858312557715,-0.000400929494917184,0.0212012839360496,-0.0628558586292042,-0.000830801285691366,0.000941568147150394
7,0.00967557689062644,0.00504473323489751,-0.0134720224826062,-0.00450965447606486,-0.0124358806281993,-0.0283840007118435,-0.00205592510596819,0.00912277000196552,0.0032974792293052,-0.00130109175794728,0.00394561924299239,0.00748490025846144,-0.000518081942812227,-0.000413203728549979,0.000616780934009998,0.000269201021778758,0.000369007586194976,0.000640942549976777,-0.000102497482772096,-0.000282888251898691,-4.61716697040706e-05,0.000302636623336501,3.76141921966636e-05,-0.000234652725007647,-0.0110451528538496,-0.0125423434505311,0.000356651617113243,0.000282035489635719
8,0.0126162169371706,0.0214490359701421,-0.00439975191313572,0.00905288890563819,-0.00365716227749074,-0.0201055528741839,0.00195417796248005,0.0110104402432734,0.0069329016180178,-0.00319288728732607,0.0124795625815336,0.0161358007386169,-0.000485957296419794,-0.000736747946867805,0.000281339890872418,-5.10583283269723e-05,6.86498431060577e-06,0.00030060442183454,-7.17253036599122e-05,-0.000301259967243439,-0.000199195064145269,0.000120335351294092,-0.000394969853645373,-0.000321708128165349,0.0259259449085756,0.0343497256961607,-0.000863642642687323,-0.000989834597474933
9,0.0182849347767548,-0.00602223074249621,-0.00904087637747004,0.00978252236689965,-0.00615050757988589,-0.0269019481639898,-0.00440657877188553,0.0233397496627029,0.000465923373566622,-0.0100862071408837,0.00447585486014461,0.0140959157820893,-0.000639192113484925,2.96624691170634e-05,0.00037417421200183,-0.000215854466206748,0.000146632939226525,0.000433561113930735,8.45487835243139e-05,-0.000730615946558418,3.6755427197132e-05,0.000560475788038079,-1.89197160300906e-05,-0.000553977665475315,0.00362875028122456,0.00420780176432224,-1.60004675652143e-05,-0.000476748707154603
10,0.0076377499926619,0.0173310010250081,-0.00775363149844949,-0.00965766238840098,-0.00534311816342586,0.00671748724365165,0.00183619799588278,-0.00872210798866682,-0.00453742106930722,-0.00969657895884419,0.00258466783710585,0.00899874836195228,-0.000276494210949192,-0.00060397978307415,0.000370577857792802,0.000200153314482253,0.000212405209647833,-0.000206058765226169,-0.000159334990849273,-7.49014324855743e-05,0.000279273207651638,0.00036327669069189,2.51007618269644e-05,-0.000308993262817766,-0.00557555490553204,0.00497088729470009,0.000451527835120772,-0.000630503238429516
11,0.0051334571540941,0.00267755917522835,-0.00868371454403566,-0.0100405472061477,-0.000487750983730295,-0.0266173194177149,0.00107464438785892,-0.00608154053848923,0.000464984258894271,-0.00771308592582166,0.00413681878590524,0.00920066695537882,-0.000146491120182965,-0.000338353609896547,0.000346188886665701,0.000282804081510364,1.13309226548659e-06,0.000510592698722112,-0.000143046983716381,-5.73369912368326e-05,1.05772341452914e-05,0.000404744021103993,-0.000162986830644872,-0.000256450206228422,0.00163843905898658,-0.0385742669575663,-9.46257214677392e-05,0.000545999993974668
12,0.00284401012398135,-0.00636261116817973,-0.0145800091855288,-0.00656017904472877,-0.00629597127037127,-0.0344401841023246,-0.00475570292292268,-0.00245386125933283,-0.000258306203829979,-0.00224625753820509,0.00680131685865415,0.00665733954028523,-0.000234634057000191,-0.000143177063316472,0.000538151762303653,0.000185366380148449,3.90154542999051e-05,0.000675556346482076,0.000112191768285788,-3.70911370858004e-05,3.44886274683669e-05,0.000110716854533908,-0.000242902949463909,-0.000143289001437002,-0.0162446626000173,-0.0454057535724858,0.000246310605893613,0.000648082379325157
13,0.0105123566185443,-0.0318140294296885,-0.00512361366203421,0.00633794206757771,-0.00172783438169395,-0.0653946857996124,-0.00846074441679635,0.0139058393786439,0.00546238286873593,-0.0214226389479266,0.0016716486677712,-0.00310228484610631,-0.000428966445398604,0.000514272125808115,0.000315105349454691,2.61342583313112e-05,1.99643066285294e-05,0.0014507801025009,0.000360373374502008,-0.000434556210063003,-0.000188951237610409,0.000695124644174555,2.31013807485394e-05,6.00289341478629e-06,0.00233419569452689,-0.101489857577112,0.000100626728324755,0.00225775781416666
14,0.0202780372348157,-0.00154354554340597,-0.00623659379464474,-0.0251786241921724,-0.00666790368182354,0.024521972033061,-0.00115274695095334,-0.0063434304065489,0.00302079526674724,0.0124006634306444,-0.00206902193267777,-0.0020399755904444,-0.000824058206149934,-0.000175578969752646,0.000282454618674463,0.000672625988117219,0.0002606467265164,-0.0005469045454169,-7.35006774809047e-05,-3.7636096424778e-05,4.41473957566173e-05,-0.000134127841394091,0.000204525350148392,-1.04057534087856e-05,0.00717256614146357,0.00181705973113367,-0.000105784792534967,-0.000232027218279982
15,0.00313202742463529,0.00224929852753116,-0.0108588045467196,-0.00953584630694017,-0.00951076566438632,-0.0068509601203985,-0.00333098870342493,-0.00795945787477805,-0.00294251643289801,0.00894383951481162,0.00322574283063266,0.00613445531364628,-9.03350554515254e-05,-0.000301354397071435,0.000433023409570415,0.000438969945824335,0.000203962448912182,0.000154302438290437,-5.63390466264516e-05,0.000114886547662045,2.02145182403807e-05,2.37848467419123e-05,-0.000207616122502098,-0.000196783653504258,-0.0202853050921609,-0.00701867094612765,0.000302910152142903,0.000233805727943037
