"run","temp","temppoor","temp2","temp2poor","prec","precpoor","prec2","prec2poor"
0,0.00889393328132069,0.0254328840045951,-0.000315446917490093,-0.000771951535209661,6.65701176487381e-06,2.57366472032929e-05,-2.67745748162234e-09,-7.42589965557937e-09
1,0.013720110680092,0.0239613000290769,-0.000599591549896012,-0.000721375229576204,-2.29553160961506e-06,2.10840264521162e-05,-2.15416364599592e-09,-4.72744163058777e-09
2,0.00981729814868795,0.00486110840193633,-0.000612470348479414,-0.000392712626486822,3.14417220910335e-05,1.23409583786177e-05,-9.12898523740533e-09,-3.5177366546552e-09
3,0.00460797189004603,0.0537331615819792,-0.000140727126997527,-0.00135508646259491,2.66128016532631e-05,2.32388197709189e-05,-8.90977905665273e-09,-6.03227972496263e-09
4,0.00886427479684765,0.0199333318614379,-0.000279667225476671,-0.000604465681256486,-5.87611916707767e-06,1.26248094031805e-05,6.68735960445669e-10,-6.53663972465348e-09
5,0.0113893755335007,0.0239026175874771,-0.000420371436144627,-0.000823206226780578,1.63831234699971e-05,7.20035739003814e-06,-8.93120866537814e-09,-4.67541959047861e-09
6,0.00372394908437431,0.0378993556344788,-0.000160833045747048,-0.000981340258242475,-7.09327475865839e-06,4.39621675108688e-05,1.4319090108721e-09,-1.16841243448187e-08
7,0.0134486553530464,0.0317056202416793,-0.000376780052993161,-0.000872206389606682,-8.03599088093866e-06,2.19221258205328e-05,1.07032024510436e-09,-9.58019679897958e-09
8,0.0241776494078843,0.0224922780188823,-0.00085056579400349,-0.000698476135551704,-1.01922136769004e-05,9.89745054373895e-06,7.98617248196915e-10,-5.92132180506974e-09
9,0.0046072444016539,-0.00608513426305074,-0.000199553754106477,-9.49233075349785e-05,1.72356164422134e-05,7.18500284093266e-05,-5.73873630130179e-09,-1.75690523364052e-08
10,0.0128529629347199,0.0109515534525661,-0.000327878141753375,-0.000538234697834175,-2.59393553760413e-06,2.28821999564701e-05,-1.43215088691536e-09,-1.00957540707665e-08
11,0.0109468828232409,0.0305577159216198,-0.000328936857266944,-0.000854184512517112,3.80378740469375e-05,5.0402081019339e-05,-1.12148288967605e-08,-1.25916988409754e-08
12,0.010095022794685,0.0271266508042326,-0.000449017811158142,-0.000634214226526606,-1.87094241130973e-06,4.7094536324797e-05,-8.70928307340954e-10,-1.26751328406771e-08
13,0.005080497984747,0.0504863175438067,-6.90670717154198e-05,-0.00134365987776507,1.73847670660179e-05,1.65401108156379e-05,-9.08888252812285e-09,-5.29765162451752e-09
14,0.013647367615662,-0.00965251961492298,-0.000427247768264425,-0.000134820531477397,5.000351774959e-06,4.70233011526084e-05,-4.13056074163651e-09,-1.24280237515535e-08
15,0.0130030020862889,0.0267042348634475,-0.000632054822790964,-0.000888961501532552,2.25446903481916e-05,2.15158565545246e-05,-5.55220619742643e-09,-6.4834918790854e-09
16,0.0118715362892364,0.0200024784847783,-0.000352188520874172,-0.000672982462736067,3.00541539155505e-05,4.28615025550304e-05,-1.01787539764577e-08,-1.1509860535168e-08
17,0.0085743851795546,0.029345051976379,-0.000255505393934621,-0.000840434429156107,1.33013232109152e-05,-1.27737968731009e-05,-2.94997401394943e-09,2.2398269593109e-10
18,0.0079219366442355,0.0380116471038358,-0.000181762356544323,-0.000998745494556157,-1.62184320610253e-05,2.34325614535986e-05,1.73990866778869e-09,-7.12345798376063e-09
19,0.00799154389504223,0.00999321446553875,-0.000134452346490991,-0.000524179618161056,1.42314999431694e-05,4.11730939307406e-05,-6.04315395452821e-09,-1.2404174390681e-08
20,0.00904348633227768,0.0176397090607384,-0.000326336229957921,-0.00064621705700829,-4.07384323688772e-07,1.92602017303975e-05,-3.21932788922445e-10,-6.32290962674386e-09
21,0.00912977670633354,0.0130640790952201,-0.000415694236483134,-0.000526909567199365,1.69876087841913e-05,3.89462448197795e-05,-6.70357588912369e-09,-9.27373284353237e-09
22,4.28934092238228e-05,0.028418150909917,2.75759399634249e-05,-0.000919300821281771,1.64184764422859e-05,4.55804679790419e-05,-4.97361456010879e-09,-9.69578734387864e-09
