"run","temp","temp2","prec","prec2"
0,0.0127177399158706,-0.000487076480603443,1.44004792703188e-05,-4.73187402520894e-09
1,0.0129901186375558,-0.000566786140338485,1.31812374260067e-05,-3.0944412264091e-09
2,0.00921723160180079,-0.000444047450276867,2.6695592460998e-06,-1.77651009393687e-09
3,0.0184488214820732,-0.000611592572640893,1.69364895707829e-05,-4.61234861720577e-09
4,0.0116921068845888,-0.000472128696139933,2.55111157504183e-05,-9.46517928753493e-09
5,0.0146237709106284,-0.000562964474225946,-6.25665858671018e-07,-2.10435734350254e-09
6,0.0152872532019934,-0.000627329758403195,2.52228434081018e-05,-8.7189015254467e-09
7,0.0158065936128704,-0.000542550640366512,3.1870315054318e-05,-8.55402561728298e-09
8,0.0134546452872285,-0.000475514588752498,-1.84339972230215e-06,-1.87190911857802e-09
9,0.00897844605147164,-0.000404529121464336,3.01884896251024e-05,-9.06204100317307e-09
10,0.00975216235916977,-0.00046652732959913,2.79180383969731e-05,-7.81430153399733e-09
11,0.0143415022360233,-0.000532946983969134,1.07688623112038e-05,-3.31627406004136e-09
12,0.0145395641130787,-0.000470742820382158,1.0417894748375e-05,-3.59264958009606e-09
13,0.00604881836399341,-0.000397956423765372,4.38497320945267e-06,-3.15058517283701e-09
14,0.0119278718474505,-0.000446806952156848,4.97228080153435e-06,-1.96972852130443e-09
15,0.0122812734587634,-0.000395963130619091,-4.07061939898958e-07,-1.12409124040586e-09
16,0.017968238847116,-0.000696666955775564,6.89920331211484e-06,-3.14433221239e-09
17,0.00969283442677413,-0.000384958949506576,9.8914137311138e-06,-5.16776866062251e-09
18,0.010913000289488,-0.000425020036462554,8.78676528813653e-06,-3.56416933604738e-09
19,0.0161387590729976,-0.000592873227604537,1.69607686714616e-05,-6.88407836701837e-09
20,0.00417321819564027,-0.000158517611782344,6.32789935379084e-06,-3.44713134732916e-09
21,0.0128820065629948,-0.000530064547576218,9.83152996275642e-06,-3.75816016345846e-09
22,0.0137799177987784,-0.000483611599424368,1.27156648865721e-05,-3.97970242968366e-09
23,0.0139730431095469,-0.000538936174950086,1.47173236378139e-05,-5.45108494912832e-09
24,0.0154188538286037,-0.000463293124979851,4.76468178573047e-06,-1.4544928946391e-09
25,0.0107247815797481,-0.000425648795965486,1.71951969242725e-05,-4.73549987964285e-09
26,0.0155343919562551,-0.000521627542892815,5.26100011607771e-06,-2.04841578385934e-09
27,0.0111492547249126,-0.000413071648098603,1.33671950127272e-05,-5.01744000921706e-09
28,0.0140579385345813,-0.000550470748855183,1.17475132197124e-05,-5.17175631363978e-09
29,0.00938686537258673,-0.000258289230514762,2.60329503934123e-05,-8.90538524407557e-09
30,0.0125524133292967,-0.000560422516004221,1.67510034073478e-05,-5.2682288637856e-09
31,0.00805561284455632,-0.000396065426985909,2.0368112212126e-05,-5.98346275261434e-09
