"mod","b1","b2"
1,0.00315457687799461,-0.000187892452524163
2,0.00845531947702021,-0.000355282343041602
3,0.010033104181764,-0.000412683912106186
4,0.0134559812200041,-0.000502563761831266
5,0.00808588404165046,-0.000382059864377859
6,0.00623917018392634,-0.000262404720503099
