"","model","estimate","baseline growth","SSP3","SSP5"
"1","Pooled model","point est.",-35.6294409581657,-25.2639599921802,-20.0829790863847
"2","","5th",-65.577634724992,-61.0193985309568,-57.2765897053526
"3","","25th",-50.2973061686443,-41.0917121225739,-36.7427550854851
"4","","50th",-34.5081840315001,-23.2121759896395,-18.2600369858281
"5","","75th",-14.8507681985526,2.89600781784269,8.22198200198077
"6","","95th",26.3638714620425,65.6396340788368,69.7833635117056
"7","","% runs < 0",85.5144855144855,72.8271728271728,68.3316683316683
"8","","% runs < -10",79.9200799200799,64.3356643356643,58.9410589410589
"9","","% runs < -20",69.4305694305694,54.045954045954,47.6523476523477
"10","Pooled with 5 lags","point est.",-72.7766449304407,-74.7619969316808,-73.3366389309424
"11","","5th",-94.3070715085363,-94.6852017433169,-94.1387636899182
"12","","25th",-84.3105618194583,-84.479358371005,-83.4071763592517
"13","","50th",-70.5468503027146,-69.9266689647972,-69.0159367531864
"14","","75th",-46.8674426733075,-42.5976982034611,-41.8796176340886
"15","","95th",20.9166977489514,47.2929217660979,39.1975069210017
"16","","% runs < 0",91.9080919080919,89.4105894105894,89.3106893106893
"17","","% runs < -10",90.1098901098901,87.8121878121878,87.9120879120879
"18","","% runs < -20",87.012987012987,84.7152847152847,84.3156843156843
"19","Rich/poor model","point est.",-16.489823337116,-22.6280180223174,-13.140692015969
"20","","5th",-67.891062572118,-60.7024527415623,-59.1733317340752
"21","","25th",-41.1147647082417,-40.6377384845372,-35.3305594293805
"22","","50th",-15.3001108048206,-17.8865371137984,-9.5844229605464
"23","","75th",19.0011757152723,14.4471780838776,25.8965111573782
"24","","95th",104.293595939758,86.3679274649933,104.430661120185
"25","","% runs < 0",61.2387612387612,66.9330669330669,57.5424575424575
"26","","% runs < -10",54.7452547452547,56.8431568431568,49.8501498501498
"27","","% runs < -20",45.3546453546454,48.051948051948,39.1608391608392
"28","Rich/poor with 5 lags","point est.",-49.6256608794045,-58.4586262622054,-49.7659709164432
"29","","5th",-92.3271500732742,-88.2057576163525,-90.5161539327064
"30","","25th",-74.6243978517889,-69.6548540658863,-70.275170197997
"31","","50th",-44.7142466186249,-42.7192948243856,-35.0464524151417
"32","","75th",20.3678152514473,37.6889326120466,58.1725024670148
"33","","95th",328.7445598271,523.0368244326,545.356659759755
"34","","% runs < 0",69.7302697302697,66.7332667332667,63.3366633366633
"35","","% runs < -10",66.7332667332667,63.6363636363636,60.03996003996
"36","","% runs < -20",63.2367632367632,59.5404595404595,56.1438561438561
